"MSN","StateCode","Data","Description","Unit"
"DFACB","AZ",109852.2557,"Distillate fuel oil consumed by the transportation sector.","Billion Btu"
"DFACB","CA",439280.6701,"Distillate fuel oil consumed by the transportation sector.","Billion Btu"
"DFACB","NM",63527.22422,"Distillate fuel oil consumed by the transportation sector.","Billion Btu"
"DFACB","TX",631694.4545,"Distillate fuel oil consumed by the transportation sector.","Billion Btu"
"DFACD","AZ",16.69188,"Distillate fuel oil price in the transportation sector.","Dollars per million Btu"
"DFACD","CA",17.54786,"Distillate fuel oil price in the transportation sector.","Dollars per million Btu"
"DFACD","NM",18.30052,"Distillate fuel oil price in the transportation sector.","Dollars per million Btu"
"DFACD","TX",17.10078,"Distillate fuel oil price in the transportation sector.","Dollars per million Btu"
"DFACP","AZ",18858.75635,"Distillate fuel oil consumed by the transportation sector.","Thousand barrels"
"DFACP","CA",75412.99057,"Distillate fuel oil consumed by the transportation sector.","Thousand barrels"
"DFACP","NM",10905.96124,"Distillate fuel oil consumed by the transportation sector.","Thousand barrels"
"DFACP","TX",108445.3999,"Distillate fuel oil consumed by the transportation sector.","Thousand barrels"
"DFACV","AZ",1833.64067,"Distillate fuel oil expenditures in the transportation sector.","Million dollars"
"DFACV","CA",7708.4357,"Distillate fuel oil expenditures in the transportation sector.","Million dollars"
"DFACV","NM",1162.58124,"Distillate fuel oil expenditures in the transportation sector.","Million dollars"
"DFACV","TX",10802.46789,"Distillate fuel oil expenditures in the transportation sector.","Million dollars"
"DFCCB","AZ",5236.34041,"Distillate fuel oil consumed by the commercial sector.","Billion Btu"
"DFCCB","CA",22615.49592,"Distillate fuel oil consumed by the commercial sector.","Billion Btu"
"DFCCB","NM",1644.08808,"Distillate fuel oil consumed by the commercial sector.","Billion Btu"
"DFCCB","TX",20256.7358,"Distillate fuel oil consumed by the commercial sector.","Billion Btu"
"DFCCD","AZ",14.31447,"Distillate fuel oil price in the commercial sector.","Dollars per million Btu"
"DFCCD","CA",14.63979,"Distillate fuel oil price in the commercial sector.","Dollars per million Btu"
"DFCCD","NM",13.55176,"Distillate fuel oil price in the commercial sector.","Dollars per million Btu"
"DFCCD","TX",13.71309,"Distillate fuel oil price in the commercial sector.","Dollars per million Btu"
"DFCCP","AZ",898.94256,"Distillate fuel oil consumed by the commercial sector.","Thousand barrels"
"DFCCP","CA",3882.48857,"Distillate fuel oil consumed by the commercial sector.","Thousand barrels"
"DFCCP","NM",282.24688,"Distillate fuel oil consumed by the commercial sector.","Thousand barrels"
"DFCCP","TX",3477.55121,"Distillate fuel oil consumed by the commercial sector.","Thousand barrels"
"DFCCV","AZ",74.95544,"Distillate fuel oil expenditures in the commercial sector.","Million dollars"
"DFCCV","CA",331.08611,"Distillate fuel oil expenditures in the commercial sector.","Million dollars"
"DFCCV","NM",22.28029,"Distillate fuel oil expenditures in the commercial sector.","Million dollars"
"DFCCV","TX",277.78244,"Distillate fuel oil expenditures in the commercial sector.","Million dollars"
"DFEID","AZ",14.73,"Distillate fuel oil price in the electric power sector.","Dollars per million Btu"
"DFEID","CA",14.38,"Distillate fuel oil price in the electric power sector.","Dollars per million Btu"
"DFEID","NM",15.26,"Distillate fuel oil price in the electric power sector.","Dollars per million Btu"
"DFEID","TX",12.88,"Distillate fuel oil price in the electric power sector.","Dollars per million Btu"
"DFEIV","AZ",8.89666,"Distillate fuel oil expenditures in the electric power sector.","Million dollars"
"DFEIV","CA",9.69914,"Distillate fuel oil expenditures in the electric power sector.","Million dollars"
"DFEIV","NM",7.58405,"Distillate fuel oil expenditures in the electric power sector.","Million dollars"
"DFEIV","TX",10.15747,"Distillate fuel oil expenditures in the electric power sector.","Million dollars"
"DFICB","AZ",27660.49248,"Distillate fuel oil consumed by the industrial sector.","Billion Btu"
"DFICB","CA",61774.31658,"Distillate fuel oil consumed by the industrial sector.","Billion Btu"
"DFICB","NM",8829.48292,"Distillate fuel oil consumed by the industrial sector.","Billion Btu"
"DFICB","TX",116985.3928,"Distillate fuel oil consumed by the industrial sector.","Billion Btu"
"DFICD","AZ",14.33731,"Distillate fuel oil price in the industrial sector.","Dollars per million Btu"
"DFICD","CA",14.66316,"Distillate fuel oil price in the industrial sector.","Dollars per million Btu"
"DFICD","NM",13.86216,"Distillate fuel oil price in the industrial sector.","Dollars per million Btu"
"DFICD","TX",14.02719,"Distillate fuel oil price in the industrial sector.","Dollars per million Btu"
"DFICP","AZ",4748.5824,"Distillate fuel oil consumed by the industrial sector.","Thousand barrels"
"DFICP","CA",10605.03289,"Distillate fuel oil consumed by the industrial sector.","Thousand barrels"
"DFICP","NM",1515.79106,"Distillate fuel oil consumed by the industrial sector.","Thousand barrels"
"DFICP","TX",20083.32924,"Distillate fuel oil consumed by the industrial sector.","Thousand barrels"
"DFICV","AZ",396.57706,"Distillate fuel oil expenditures in the industrial sector.","Million dollars"
"DFICV","CA",900.23892,"Distillate fuel oil expenditures in the industrial sector.","Million dollars"
"DFICV","NM",122.01263,"Distillate fuel oil expenditures in the industrial sector.","Million dollars"
"DFICV","TX",1635.84036,"Distillate fuel oil expenditures in the industrial sector.","Million dollars"
"DFISB","AZ",27660.49248,"Distillate fuel oil consumed by the industrial sector excluding refinery fuel.","Billion Btu"
"DFISB","CA",61394.60504,"Distillate fuel oil consumed by the industrial sector excluding refinery fuel.","Billion Btu"
"DFISB","NM",8801.84819,"Distillate fuel oil consumed by the industrial sector excluding refinery fuel.","Billion Btu"
"DFISB","TX",116619.2488,"Distillate fuel oil consumed by the industrial sector excluding refinery fuel.","Billion Btu"
"DFRCB","AZ",19.7803,"Distillate fuel oil consumed by the residential sector.","Billion Btu"
