"MSN","StateCode","Data","Description","Unit"
"GOCCB","AZ",41.81065,"Geothermal energy and hydroelectricity consumed in the commercial sector.","Billion Btu"
"GOCCB","CA",555.11811,"Geothermal energy and hydroelectricity consumed in the commercial sector.","Billion Btu"
"GOCCB","NM",62.71597,"Geothermal energy and hydroelectricity consumed in the commercial sector.","Billion Btu"
"GOCCB","TX",698.89004,"Geothermal energy and hydroelectricity consumed in the commercial sector.","Billion Btu"
"HYCCB","AZ",0,"Hydroelectricity produced in the commercial sector.","Billion Btu"
"HYCCB","CA",3.21758,"Hydroelectricity produced in the commercial sector.","Billion Btu"
"HYCCB","NM",0,"Hydroelectricity produced in the commercial sector.","Billion Btu"
"HYCCB","TX",0,"Hydroelectricity produced in the commercial sector.","Billion Btu"
"HYCCP","AZ",0,"Hydroelectricity produced in the commercial sector.","Million kilowatthours"
"HYCCP","CA",0.32967,"Hydroelectricity produced in the commercial sector.","Million kilowatthours"
"HYCCP","NM",0,"Hydroelectricity produced in the commercial sector.","Million kilowatthours"
"HYCCP","TX",0,"Hydroelectricity produced in the commercial sector.","Million kilowatthours"
"HYEGB","AZ",62730.8872,"Hydroelectricity produced by the electric power sector.","Billion Btu"
"HYEGB","CA",272184.017,"Hydroelectricity produced by the electric power sector.","Billion Btu"
"HYEGB","NM",2644.59888,"Hydroelectricity produced by the electric power sector.","Billion Btu"
"HYEGB","TX",10039.69525,"Hydroelectricity produced by the electric power sector.","Billion Btu"
"HYEGP","AZ",6427.345,"Hydroelectricity produced by the electric power sector.","Million kilowatthours"
"HYEGP","CA",27887.70666,"Hydroelectricity produced by the electric power sector.","Million kilowatthours"
"HYEGP","NM",270.963,"Hydroelectricity produced by the electric power sector.","Million kilowatthours"
"HYEGP","TX",1028.6573,"Hydroelectricity produced by the electric power sector.","Million kilowatthours"
"HYICB","AZ",0,"Hydroelectricity produced in the industrial sector.","Billion Btu"
"HYICB","CA",0,"Hydroelectricity produced in the industrial sector.","Billion Btu"
"HYICB","NM",0,"Hydroelectricity produced in the industrial sector.","Billion Btu"
"HYICB","TX",0,"Hydroelectricity produced in the industrial sector.","Billion Btu"
"HYICP","AZ",0,"Hydroelectricity produced in the industrial sector.","Million kilowatthours"
"HYICP","CA",0,"Hydroelectricity produced in the industrial sector.","Million kilowatthours"
"HYICP","NM",0,"Hydroelectricity produced in the industrial sector.","Million kilowatthours"
"HYICP","TX",0,"Hydroelectricity produced in the industrial sector.","Million kilowatthours"
"HYTCB","AZ",62730.8872,"Hydroelectricity total production.","Billion Btu"
"HYTCB","CA",272187.2346,"Hydroelectricity total production.","Billion Btu"
"HYTCB","NM",2644.59888,"Hydroelectricity total production.","Billion Btu"
"HYTCB","TX",10039.69525,"Hydroelectricity total production.","Billion Btu"
"HYTCP","AZ",6427.345,"Hydroelectricity total production.","Million kilowatthours"
"HYTCP","CA",27888.03633,"Hydroelectricity total production.","Million kilowatthours"
"HYTCP","NM",270.963,"Hydroelectricity total production.","Million kilowatthours"
"HYTCP","TX",1028.6573,"Hydroelectricity total production.","Million kilowatthours"
"HYTXB","AZ",0,"Hydroelectricity produced by the end-use sectors.","Billion Btu"
"HYTXB","CA",3.21758,"Hydroelectricity produced by the end-use sectors.","Billion Btu"
"HYTXB","NM",0,"Hydroelectricity produced by the end-use sectors.","Billion Btu"
"HYTXB","TX",0,"Hydroelectricity produced by the end-use sectors.","Billion Btu"
"HYTXP","AZ",0,"Hydroelectricity produced by the end-use sectors.","Million kilowatthours"
"HYTXP","CA",0.32967,"Hydroelectricity produced by the end-use sectors.","Million kilowatthours"
"HYTXP","NM",0,"Hydroelectricity produced by the end-use sectors.","Million kilowatthours"
"HYTXP","TX",0,"Hydroelectricity produced by the end-use sectors.","Million kilowatthours"
