MSN,StateCode,Data,Description,Unit
DKEIB,AZ,603.9826,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Billion Btu
DKEIB,CA,674.4884,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Billion Btu
DKEIB,NM,496.989,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Billion Btu
DKEIB,TX,788.62345,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Billion Btu
DKEID,AZ,14.72999,Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.,Dollars per million Btu
DKEID,CA,14.38,Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.,Dollars per million Btu
DKEID,NM,15.26,Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.,Dollars per million Btu
DKEID,TX,12.88,Distillate fuel oil and kerosene-type jet fuel average price in the electric power sector.,Dollars per million Btu
DKEIP,AZ,103.688,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Thousand barrels
DKEIP,CA,115.792,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Thousand barrels
DKEIP,NM,85.32,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Thousand barrels
DKEIP,TX,135.386,Distillate fuel oil and kerosene-type jet fuel consumed by the electric power sector.,Thousand barrels
DKEIV,AZ,8.89666,Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.,Million dollars
DKEIV,CA,9.69914,Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.,Million dollars
DKEIV,NM,7.58405,Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.,Million dollars
DKEIV,TX,10.15747,Distillate fuel oil and kerosene-type jet fuel expenditures in the electric power sector.,Million dollars
JFACB,AZ,32288.2927,Jet fuel consumed by the transportation sector.,Billion Btu
JFACB,CA,555575.4421,Jet fuel consumed by the transportation sector.,Billion Btu
JFACB,NM,7587.28226,Jet fuel consumed by the transportation sector.,Billion Btu
JFACB,TX,350450.5889,Jet fuel consumed by the transportation sector.,Billion Btu
JFACD,AZ,12.4963,Jet fuel price in the transportation sector.,Dollars per million Btu
JFACD,CA,12.4963,Jet fuel price in the transportation sector.,Dollars per million Btu
JFACD,NM,12.9037,Jet fuel price in the transportation sector.,Dollars per million Btu
JFACD,TX,12.37778,Jet fuel price in the transportation sector.,Dollars per million Btu
JFACP,AZ,5694.58425,Jet fuel consumed by the transportation sector.,Thousand barrels
JFACP,CA,97985.08679,Jet fuel consumed by the transportation sector.,Thousand barrels
JFACP,NM,1338.14502,Jet fuel consumed by the transportation sector.,Thousand barrels
JFACP,TX,61807.864,Jet fuel consumed by the transportation sector.,Thousand barrels
JFACV,AZ,403.48419,Jet fuel expenditures in the transportation sector.,Million dollars
JFACV,CA,6942.6374,Jet fuel expenditures in the transportation sector.,Million dollars
JFACV,NM,97.90401,Jet fuel expenditures in the transportation sector.,Million dollars
JFACV,TX,4337.80029,Jet fuel expenditures in the transportation sector.,Million dollars
JFTCB,AZ,32288.2927,Jet fuel total consumption.,Billion Btu
JFTCB,CA,555575.4421,Jet fuel total consumption.,Billion Btu
JFTCB,NM,7587.28226,Jet fuel total consumption.,Billion Btu
JFTCB,TX,350450.5889,Jet fuel total consumption.,Billion Btu
JFTCD,AZ,12.4963,"Jet fuel average price, all sectors.",Dollars per million Btu
JFTCD,CA,12.4963,"Jet fuel average price, all sectors.",Dollars per million Btu
JFTCD,NM,12.9037,"Jet fuel average price, all sectors.",Dollars per million Btu
JFTCD,TX,12.37778,"Jet fuel average price, all sectors.",Dollars per million Btu
JFTCP,AZ,5694.58425,Jet fuel total consumption.,Thousand barrels
JFTCP,CA,97985.08679,Jet fuel total consumption.,Thousand barrels
JFTCP,NM,1338.14502,Jet fuel total consumption.,Thousand barrels
JFTCP,TX,61807.864,Jet fuel total consumption.,Thousand barrels
JFTCV,AZ,403.48419,Jet fuel total expenditures.,Million dollars
JFTCV,CA,6942.6374,Jet fuel total expenditures.,Million dollars
JFTCV,NM,97.90401,Jet fuel total expenditures.,Million dollars
JFTCV,TX,4337.80029,Jet fuel total expenditures.,Million dollars
JFTXB,AZ,32288.2927,Jet fuel total end-use consumption.,Billion Btu
JFTXB,CA,555575.4421,Jet fuel total end-use consumption.,Billion Btu
JFTXB,NM,7587.28226,Jet fuel total end-use consumption.,Billion Btu
JFTXB,TX,350450.5889,Jet fuel total end-use consumption.,Billion Btu
JFTXD,AZ,12.4963,"Jet fuel average price, all end-use sectors.",Dollars per million Btu
JFTXD,CA,12.4963,"Jet fuel average price, all end-use sectors.",Dollars per million Btu
JFTXD,NM,12.9037,"Jet fuel average price, all end-use sectors.",Dollars per million Btu
JFTXD,TX,12.37778,"Jet fuel average price, all end-use sectors.",Dollars per million Btu
JFTXP,AZ,5694.58425,Jet fuel total end-use consumption.,Thousand barrels
JFTXP,CA,97985.08679,Jet fuel total end-use consumption.,Thousand barrels
JFTXP,NM,1338.14502,Jet fuel total end-use consumption.,Thousand barrels
JFTXP,TX,61807.864,Jet fuel total end-use consumption.,Thousand barrels
JFTXV,AZ,403.48419,Jet fuel total end-use expenditures.,Million dollars
JFTXV,CA,6942.6374,Jet fuel total end-use expenditures.,Million dollars
JFTXV,NM,97.90401,Jet fuel total end-use expenditures.,Million dollars
JFTXV,TX,4337.80029,Jet fuel total end-use expenditures.,Million dollars
JKACB,AZ,32288.2927,Kerosene-type jet fuel consumed by the transportation sector.,Billion Btu
JKACB,CA,555575.4421,Kerosene-type jet fuel consumed by the transportation sector.,Billion Btu
JKACB,NM,7587.28226,Kerosene-type jet fuel consumed by the transportation sector.,Billion Btu
JKACB,TX,350450.5889,Kerosene-type jet fuel consumed by the transportation sector.,Billion Btu
JKACP,AZ,5694.58425,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels
JKACP,CA,97985.08679,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels
JKACP,NM,1338.14502,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels
JKACP,TX,61807.864,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels
JKTCB,AZ,32288.2927,Kerosene-type jet fuel total consumption.,Billion Btu
JKTCB,CA,555575.4421,Kerosene-type jet fuel total consumption.,Billion Btu
JKTCB,NM,7587.28226,Kerosene-type jet fuel total consumption.,Billion Btu
JKTCB,TX,350450.5889,Kerosene-type jet fuel total consumption.,Billion Btu
JKTCP,AZ,5694.58425,Kerosene-type jet fuel total consumption.,Thousand barrels
JKTCP,CA,97985.08679,Kerosene-type jet fuel total consumption.,Thousand barrels
JKTCP,NM,1338.14502,Kerosene-type jet fuel total consumption.,Thousand barrels
JKTCP,TX,61807.864,Kerosene-type jet fuel total consumption.,Thousand barrels
JNACB,AZ,0,Naphtha-type jet fuel consumed by the transportation sector.,Billion Btu
JNACB,CA,0,Naphtha-type jet fuel consumed by the transportation sector.,Billion Btu
JNACB,NM,0,Naphtha-type jet fuel consumed by the transportation sector.,Billion Btu
JNACB,TX,0,Naphtha-type jet fuel consumed by the transportation sector.,Billion Btu
JNACP,AZ,0,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels
JNACP,CA,0,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels
JNACP,NM,0,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels
JNACP,TX,0,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels
JNTCB,AZ,0,Naphtha-type jet fuel total consumption.,Billion Btu
JNTCB,CA,0,Naphtha-type jet fuel total consumption.,Billion Btu
JNTCB,NM,0,Naphtha-type jet fuel total consumption.,Billion Btu
JNTCB,TX,0,Naphtha-type jet fuel total consumption.,Billion Btu
JNTCP,AZ,0,Naphtha-type jet fuel total consumption.,Thousand barrels
JNTCP,CA,0,Naphtha-type jet fuel total consumption.,Thousand barrels
JNTCP,NM,0,Naphtha-type jet fuel total consumption.,Thousand barrels
JNTCP,TX,0,Naphtha-type jet fuel total consumption.,Thousand barrels
