"MSN","StateCode","Data","Description","Unit"
"LGACB","AZ",720.80092,"LPG consumed by the transportation sector.","Billion Btu"
"LGACB","CA",3604.91824,"LPG consumed by the transportation sector.","Billion Btu"
"LGACB","NM",166.81825,"LPG consumed by the transportation sector.","Billion Btu"
"LGACB","TX",1786.20185,"LPG consumed by the transportation sector.","Billion Btu"
"LGACD","AZ",22.67622,"LPG price in the transportation sector.","Dollars per million Btu"
"LGACD","CA",23.38449,"LPG price in the transportation sector.","Dollars per million Btu"
"LGACD","NM",24.7774,"LPG price in the transportation sector.","Dollars per million Btu"
"LGACD","TX",25.13153,"LPG price in the transportation sector.","Dollars per million Btu"
"LGACP","AZ",202.58598,"LPG consumed by the transportation sector.","Thousand barrels"
"LGACP","CA",1013.18669,"LPG consumed by the transportation sector.","Thousand barrels"
"LGACP","NM",46.8854,"LPG consumed by the transportation sector.","Thousand barrels"
"LGACP","TX",502.02413,"LPG consumed by the transportation sector.","Thousand barrels"
"LGACV","AZ",16.34504,"LPG expenditures in the transportation sector.","Million dollars"
"LGACV","CA",84.29917,"LPG expenditures in the transportation sector.","Million dollars"
"LGACV","NM",4.13332,"LPG expenditures in the transportation sector.","Million dollars"
"LGACV","TX",44.88999,"LPG expenditures in the transportation sector.","Million dollars"
"LGCCB","AZ",766.40081,"LPG consumed by the commercial sector.","Billion Btu"
"LGCCB","CA",7388.21586,"LPG consumed by the commercial sector.","Billion Btu"
"LGCCB","NM",1201.71404,"LPG consumed by the commercial sector.","Billion Btu"
"LGCCB","TX",6322.3886,"LPG consumed by the commercial sector.","Billion Btu"
"LGCCD","AZ",21.09151,"LPG price in the commercial sector.","Dollars per million Btu"
"LGCCD","CA",21.57086,"LPG price in the commercial sector.","Dollars per million Btu"
"LGCCD","NM",21.56661,"LPG price in the commercial sector.","Dollars per million Btu"
"LGCCD","TX",21.82336,"LPG price in the commercial sector.","Dollars per million Btu"
"LGCCP","AZ",215.40214,"LPG consumed by the commercial sector.","Thousand barrels"
"LGCCP","CA",2076.50811,"LPG consumed by the commercial sector.","Thousand barrels"
"LGCCP","NM",337.74987,"LPG consumed by the commercial sector.","Thousand barrels"
"LGCCP","TX",1776.95014,"LPG consumed by the commercial sector.","Thousand barrels"
"LGCCV","AZ",16.16455,"LPG expenditures in the commercial sector.","Million dollars"
"LGCCV","CA",159.37017,"LPG expenditures in the commercial sector.","Million dollars"
"LGCCV","NM",25.9169,"LPG expenditures in the commercial sector.","Million dollars"
"LGCCV","TX",137.97576,"LPG expenditures in the commercial sector.","Million dollars"
"LGICB","AZ",1312.20467,"LPG consumed by the industrial sector.","Billion Btu"
"LGICB","CA",21979.17714,"LPG consumed by the industrial sector.","Billion Btu"
"LGICB","NM",14851.98171,"LPG consumed by the industrial sector.","Billion Btu"
"LGICB","TX",1462021.142,"LPG consumed by the industrial sector.","Billion Btu"
"LGICD","AZ",22.99031,"LPG price in the industrial sector.","Dollars per million Btu"
"LGICD","CA",23.51282,"LPG price in the industrial sector.","Dollars per million Btu"
"LGICD","NM",12.38552,"LPG price in the industrial sector.","Dollars per million Btu"
"LGICD","TX",12.53297,"LPG price in the industrial sector.","Dollars per million Btu"
"LGICP","AZ",368.80401,"LPG consumed by the industrial sector.","Thousand barrels"
"LGICP","CA",6177.39661,"LPG consumed by the industrial sector.","Thousand barrels"
"LGICP","NM",4174.25006,"LPG consumed by the industrial sector.","Thousand barrels"
"LGICP","TX",410910.945,"LPG consumed by the industrial sector.","Thousand barrels"
"LGICV","AZ",30.16799,"LPG expenditures in the industrial sector.","Million dollars"
"LGICV","CA",425.26929,"LPG expenditures in the industrial sector.","Million dollars"
"LGICV","NM",183.84416,"LPG expenditures in the industrial sector.","Million dollars"
"LGICV","TX",18312.97218,"LPG expenditures in the industrial sector.","Million dollars"
"LGISB","AZ",1312.20467,"LPG consumed in the industrial sector excluding refinery fuel.","Billion Btu"
"LGISB","CA",18086.69853,"LPG consumed in the industrial sector excluding refinery fuel.","Billion Btu"
"LGISB","NM",14843.4751,"LPG consumed in the industrial sector excluding refinery fuel.","Billion Btu"
"LGISB","TX",1461183.756,"LPG consumed in the industrial sector excluding refinery fuel.","Billion Btu"
"LGRCB","AZ",4519.12215,"LPG consumed by the residential sector.","Billion Btu"
"LGRCB","CA",27962.09923,"LPG consumed by the residential sector.","Billion Btu"
"LGRCB","NM",6452.51544,"LPG consumed by the residential sector.","Billion Btu"
"LGRCB","TX",19068.73022,"LPG consumed by the residential sector.","Billion Btu"
"LGRCD","AZ",30.81454,"LPG price in the residential sector.","Dollars per million Btu"
"LGRCD","CA",27.99622,"LPG price in the residential sector.","Dollars per million Btu"
"LGRCD","NM",25.44612,"LPG price in the residential sector.","Dollars per million Btu"
"LGRCD","TX",26.3887,"LPG price in the residential sector.","Dollars per million Btu"
"LGRCP","AZ",1270.12989,"LPG consumed by the residential sector.","Thousand barrels"
"LGRCP","CA",7858.93739,"LPG consumed by the residential sector.","Thousand barrels"
"LGRCP","NM",1813.52317,"LPG consumed by the residential sector.","Thousand barrels"
"LGRCP","TX",5359.39579,"LPG consumed by the residential sector.","Thousand barrels"
"LGRCV","AZ",139.25467,"LPG expenditures in the residential sector.","Million dollars"
"LGRCV","CA",782.83308,"LPG expenditures in the residential sector.","Million dollars"
"LGRCV","NM",164.19148,"LPG expenditures in the residential sector.","Million dollars"
"LGRCV","TX",503.199,"LPG expenditures in the residential sector.","Million dollars"
"LGRFB","AZ",0,"LPG consumed as refinery fuel.","Billion Btu"
"LGRFB","CA",3892.47861,"LPG consumed as refinery fuel.","Billion Btu"
"LGRFB","NM",8.50661,"LPG consumed as refinery fuel.","Billion Btu"
"LGRFB","TX",837.38654,"LPG consumed as refinery fuel.","Billion Btu"
"LGTCB","AZ",7318.52855,"LPG total consumption.","Billion Btu"
"LGTCB","CA",60934.41047,"LPG total consumption.","Billion Btu"
"LGTCB","NM",22673.02944,"LPG total consumption.","Billion Btu"
"LGTCB","TX",1489198.463,"LPG total consumption.","Billion Btu"
"LGTCD","AZ",27.59192,"LPG average price, all sectors.","Dollars per million Btu"
"LGTCD","CA",25.45096,"LPG average price, all sectors.","Dollars per million Btu"
"LGTCD","NM",16.68184,"LPG average price, all sectors.","Dollars per million Btu"
"LGTCD","TX",12.76507,"LPG average price, all sectors.","Dollars per million Btu"
"LGTCP","AZ",2056.92202,"LPG total consumption.","Thousand barrels"
"LGTCP","CA",17126.0288,"LPG total consumption.","Thousand barrels"
"LGTCP","NM",6372.4085,"LPG total consumption.","Thousand barrels"
"LGTCP","TX",418549.3151,"LPG total consumption.","Thousand barrels"
"LGTCV","AZ",201.93225,"LPG total expenditures.","Million dollars"
"LGTCV","CA",1451.77171,"LPG total expenditures.","Million dollars"
"LGTCV","NM",378.08586,"LPG total expenditures.","Million dollars"
"LGTCV","TX",18999.03693,"LPG total expenditures.","Million dollars"
"LGTXB","AZ",7318.52855,"LPG total end-use consumption.","Billion Btu"
"LGTXB","CA",60934.41047,"LPG total end-use consumption.","Billion Btu"
"LGTXB","NM",22673.02944,"LPG total end-use consumption.","Billion Btu"
"LGTXB","TX",1489198.463,"LPG total end-use consumption.","Billion Btu"
"LGTXD","AZ",27.5919199,"LPG average price, all end-use sectors.","Dollars per million Btu"
"LGTXD","CA",25.45095627,"LPG average price, all end-use sectors.","Dollars per million Btu"
"LGTXD","NM",16.68183625,"LPG average price, all end-use sectors.","Dollars per million Btu"
"LGTXD","TX",12.76507242,"LPG average price, all end-use sectors.","Dollars per million Btu"
"LGTXP","AZ",2056.92202,"LPG total end-use consumption.","Thousand barrels"
"LGTXP","CA",17126.0288,"LPG total end-use consumption.","Thousand barrels"
"LGTXP","NM",6372.4085,"LPG total end-use consumption.","Thousand barrels"
"LGTXP","TX",418549.3151,"LPG total end-use consumption.","Thousand barrels"
"LGTXV","AZ",201.93225,"LPG total end-use expenditures.","Million dollars"
"LGTXV","CA",1451.77171,"LPG total end-use expenditures.","Million dollars"
"LGTXV","NM",378.08586,"LPG total end-use expenditures.","Million dollars"
"LGTXV","TX",18999.03693,"LPG total end-use expenditures.","Million dollars"
