"MSN","StateCode","Data","Description","Unit"
"MBICB","AZ",0,"Motor gasoline blending components consumed by the industrial sector.","Billion Btu"
"MBICB","CA",0,"Motor gasoline blending components consumed by the industrial sector.","Billion Btu"
"MBICB","NM",0,"Motor gasoline blending components consumed by the industrial sector.","Billion Btu"
"MBICB","TX",0,"Motor gasoline blending components consumed by the industrial sector.","Billion Btu"
"MBICP","AZ",0,"Motor gasoline blending components consumed by the industrial sector.","Thousand barrels"
"MBICP","CA",0,"Motor gasoline blending components consumed by the industrial sector.","Thousand barrels"
"MBICP","NM",0,"Motor gasoline blending components consumed by the industrial sector.","Thousand barrels"
"MBICP","TX",0,"Motor gasoline blending components consumed by the industrial sector.","Thousand barrels"
"MGACB","AZ",326032.0675,"Motor gasoline consumed by the transportation sector.","Billion Btu"
"MGACB","CA",1845557.984,"Motor gasoline consumed by the transportation sector.","Billion Btu"
"MGACB","NM",118302.2416,"Motor gasoline consumed by the transportation sector.","Billion Btu"
"MGACB","TX",1488852.87,"Motor gasoline consumed by the transportation sector.","Billion Btu"
"MGACD","AZ",18.27942,"Motor gasoline price in the transportation sector.","Dollars per million Btu"
"MGACD","CA",20.05826,"Motor gasoline price in the transportation sector.","Dollars per million Btu"
"MGACD","NM",18.73016,"Motor gasoline price in the transportation sector.","Dollars per million Btu"
"MGACD","TX",17.77233,"Motor gasoline price in the transportation sector.","Dollars per million Btu"
"MGACP","AZ",62482.19002,"Motor gasoline consumed by the transportation sector.","Thousand barrels"
"MGACP","CA",353690.6831,"Motor gasoline consumed by the transportation sector.","Thousand barrels"
"MGACP","NM",22671.95124,"Motor gasoline consumed by the transportation sector.","Thousand barrels"
"MGACP","TX",285330.1782,"Motor gasoline consumed by the transportation sector.","Thousand barrels"
"MGACV","AZ",5959.6771,"Motor gasoline expenditures in the transportation sector.","Million dollars"
"MGACV","CA",37018.6819,"Motor gasoline expenditures in the transportation sector.","Million dollars"
"MGACV","NM",2215.81991,"Motor gasoline expenditures in the transportation sector.","Million dollars"
"MGACV","TX",26460.38453,"Motor gasoline expenditures in the transportation sector.","Million dollars"
"MGCCB","AZ",589.04729,"Motor gasoline consumed by the commercial sector.","Billion Btu"
"MGCCB","CA",1404.64156,"Motor gasoline consumed by the commercial sector.","Billion Btu"
"MGCCB","NM",106.97349,"Motor gasoline consumed by the commercial sector.","Billion Btu"
"MGCCB","TX",1624.38453,"Motor gasoline consumed by the commercial sector.","Billion Btu"
"MGCCD","AZ",18.27942,"Motor gasoline price in the commercial sector.","Dollars per million Btu"
"MGCCD","CA",20.05826,"Motor gasoline price in the commercial sector.","Dollars per million Btu"
"MGCCD","NM",18.73016,"Motor gasoline price in the commercial sector.","Dollars per million Btu"
"MGCCD","TX",17.77233,"Motor gasoline price in the commercial sector.","Dollars per million Btu"
"MGCCP","AZ",112.88756,"Motor gasoline consumed by the commercial sector.","Thousand barrels"
"MGCCP","CA",269.19156,"Motor gasoline consumed by the commercial sector.","Thousand barrels"
"MGCCP","NM",20.50086,"Motor gasoline consumed by the commercial sector.","Thousand barrels"
"MGCCP","TX",311.30405,"Motor gasoline consumed by the commercial sector.","Thousand barrels"
"MGCCV","AZ",10.76744,"Motor gasoline expenditures in the commercial sector.","Million dollars"
"MGCCV","CA",28.17467,"Motor gasoline expenditures in the commercial sector.","Million dollars"
"MGCCV","NM",2.00363,"Motor gasoline expenditures in the commercial sector.","Million dollars"
"MGCCV","TX",28.8691,"Motor gasoline expenditures in the commercial sector.","Million dollars"
"MGICB","AZ",5218.01398,"Motor gasoline consumed by the industrial sector.","Billion Btu"
"MGICB","CA",19578.41992,"Motor gasoline consumed by the industrial sector.","Billion Btu"
"MGICB","NM",2371.30909,"Motor gasoline consumed by the industrial sector.","Billion Btu"
"MGICB","TX",19893.04043,"Motor gasoline consumed by the industrial sector.","Billion Btu"
"MGICD","AZ",18.27942,"Motor gasoline price in the industrial sector.","Dollars per million Btu"
"MGICD","CA",20.05826,"Motor gasoline price in the industrial sector.","Dollars per million Btu"
"MGICD","NM",18.73016,"Motor gasoline price in the industrial sector.","Dollars per million Btu"
"MGICD","TX",17.77233,"Motor gasoline price in the industrial sector.","Dollars per million Btu"
"MGICP","AZ",1000.00268,"Motor gasoline consumed by the industrial sector.","Thousand barrels"
"MGICP","CA",3752.09274,"Motor gasoline consumed by the industrial sector.","Thousand barrels"
"MGICP","NM",454.44789,"Motor gasoline consumed by the industrial sector.","Thousand barrels"
"MGICP","TX",3812.38797,"Motor gasoline consumed by the industrial sector.","Thousand barrels"
"MGICV","AZ",95.38227,"Motor gasoline expenditures in the industrial sector.","Million dollars"
"MGICV","CA",392.70904,"Motor gasoline expenditures in the industrial sector.","Million dollars"
"MGICV","NM",44.415,"Motor gasoline expenditures in the industrial sector.","Million dollars"
"MGICV","TX",353.54568,"Motor gasoline expenditures in the industrial sector.","Million dollars"
"MGTCB","AZ",331839.1288,"Motor gasoline total consumption.","Billion Btu"
"MGTCB","CA",1866541.046,"Motor gasoline total consumption.","Billion Btu"
"MGTCB","NM",120780.5242,"Motor gasoline total consumption.","Billion Btu"
"MGTCB","TX",1510370.295,"Motor gasoline total consumption.","Billion Btu"
"MGTCD","AZ",18.27942,"Motor gasoline average price, all sectors.","Dollars per million Btu"
"MGTCD","CA",20.05826,"Motor gasoline average price, all sectors.","Dollars per million Btu"
"MGTCD","NM",18.73016,"Motor gasoline average price, all sectors.","Dollars per million Btu"
"MGTCD","TX",17.77233,"Motor gasoline average price, all sectors.","Dollars per million Btu"
"MGTCP","AZ",63595.08026,"Motor gasoline total consumption.","Thousand barrels"
"MGTCP","CA",357711.9674,"Motor gasoline total consumption.","Thousand barrels"
"MGTCP","NM",23146.89999,"Motor gasoline total consumption.","Thousand barrels"
"MGTCP","TX",289453.8703,"Motor gasoline total consumption.","Thousand barrels"
"MGTCV","AZ",6065.82681,"Motor gasoline total expenditures.","Million dollars"
"MGTCV","CA",37439.56561,"Motor gasoline total expenditures.","Million dollars"
"MGTCV","NM",2262.23854,"Motor gasoline total expenditures.","Million dollars"
"MGTCV","TX",26842.79931,"Motor gasoline total expenditures.","Million dollars"
"MGTXB","AZ",331839.1288,"Motor gasoline total end-use consumption.","Billion Btu"
"MGTXB","CA",1866541.046,"Motor gasoline total end-use consumption.","Billion Btu"
"MGTXB","NM",120780.5242,"Motor gasoline total end-use consumption.","Billion Btu"
"MGTXB","TX",1510370.295,"Motor gasoline total end-use consumption.","Billion Btu"
"MGTXD","AZ",18.27942,"Motor gasoline average price, all end-use sectors.","Dollars per million Btu"
"MGTXD","CA",20.05826,"Motor gasoline average price, all end-use sectors.","Dollars per million Btu"
"MGTXD","NM",18.73016,"Motor gasoline average price, all end-use sectors.","Dollars per million Btu"
"MGTXD","TX",17.77233,"Motor gasoline average price, all end-use sectors.","Dollars per million Btu"
"MGTXP","AZ",63595.08026,"Motor gasoline total end-use consumption.","Thousand barrels"
"MGTXP","CA",357711.9674,"Motor gasoline total end-use consumption.","Thousand barrels"
"MGTXP","NM",23146.89999,"Motor gasoline total end-use consumption.","Thousand barrels"
"MGTXP","TX",289453.8703,"Motor gasoline total end-use consumption.","Thousand barrels"
"MGTXV","AZ",6065.82681,"Motor gasoline total end-use expenditures.","Million dollars"
"MGTXV","CA",37439.56561,"Motor gasoline total end-use expenditures.","Million dollars"
"MGTXV","NM",2262.23854,"Motor gasoline total end-use expenditures.","Million dollars"
"MGTXV","TX",26842.79931,"Motor gasoline total end-use expenditures.","Million dollars"
"MMTCB","AZ",312388.1083,"Motor gasoline total consumption excluding fuel ethanol.","Billion Btu"
"MMTCB","CA",1784822.743,"Motor gasoline total consumption excluding fuel ethanol.","Billion Btu"
"MMTCB","NM",116665.755,"Motor gasoline total consumption excluding fuel ethanol.","Billion Btu"
"MMTCB","TX",1443639.309,"Motor gasoline total consumption excluding fuel ethanol.","Billion Btu"
