"MSN","StateCode","Data","Description","Unit"
"NAICB","AZ",0,"Natural gasoline consumed by the industrial sector.","Billion Btu"
"NAICB","CA",0,"Natural gasoline consumed by the industrial sector.","Billion Btu"
"NAICB","NM",0,"Natural gasoline consumed by the industrial sector.","Billion Btu"
"NAICB","TX",0,"Natural gasoline consumed by the industrial sector.","Billion Btu"
"NAICP","AZ",0,"Natural gasoline consumed by the industrial sector.","Thousand barrels"
"NAICP","CA",0,"Natural gasoline consumed by the industrial sector.","Thousand barrels"
"NAICP","NM",0,"Natural gasoline consumed by the industrial sector.","Thousand barrels"
"NAICP","TX",0,"Natural gasoline consumed by the industrial sector.","Thousand barrels"
"NGACB","AZ",22534.0938,"Natural gas consumed by the transportation sector.","Billion Btu"
"NGACB","CA",19952.36172,"Natural gas consumed by the transportation sector.","Billion Btu"
"NGACB","NM",11407.879,"Natural gas consumed by the transportation sector.","Billion Btu"
"NGACB","TX",98081.96436,"Natural gas consumed by the transportation sector.","Billion Btu"
"NGACD","AZ",14.69173,"Natural gas price in the transportation sector.","Dollars per million Btu"
"NGACD","CA",7.41,"Natural gas price in the transportation sector.","Dollars per million Btu"
"NGACD","NM",3.6666,"Natural gas price in the transportation sector.","Dollars per million Btu"
"NGACD","TX",4.76218,"Natural gas price in the transportation sector.","Dollars per million Btu"
"NGACP","AZ",22130,"Natural gas consumed by the transportation sector.","Million cubic feet"
"NGACP","CA",19428,"Natural gas consumed by the transportation sector.","Million cubic feet"
"NGACP","NM",11095,"Natural gas consumed by the transportation sector.","Million cubic feet"
"NGACP","TX",95714,"Natural gas consumed by the transportation sector.","Million cubic feet"
"NGACV","AZ",33.42064,"Natural gas expenditures in the transportation sector.","Million dollars"
"NGACV","CA",99.93447,"Natural gas expenditures in the transportation sector.","Million dollars"
"NGACV","NM",1.00282,"Natural gas expenditures in the transportation sector.","Million dollars"
"NGACV","TX",10.76527,"Natural gas expenditures in the transportation sector.","Million dollars"
"NGCCB","AZ",32783.89896,"Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).","Billion Btu"
"NGCCB","CA",254251.9143,"Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).","Billion Btu"
"NGCCB","NM",25372.8914,"Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).","Billion Btu"
"NGCCB","TX",171497.4122,"Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).","Billion Btu"
"NGCCD","AZ",11.93212,"Natural gas price in the commercial sector (including supplemental gaseous fuels).","Dollars per million Btu"
"NGCCD","CA",7.54632,"Natural gas price in the commercial sector (including supplemental gaseous fuels).","Dollars per million Btu"
"NGCCD","NM",7.31375,"Natural gas price in the commercial sector (including supplemental gaseous fuels).","Dollars per million Btu"
"NGCCD","TX",7.963,"Natural gas price in the commercial sector (including supplemental gaseous fuels).","Dollars per million Btu"
"NGCCP","AZ",32196,"Natural gas consumed by (delivered to) the commercial sector (including supplemental gaseous fuels).","Million cubic feet"
