"MSN","StateCode","Data","Description","Unit"
"P1ICB","AZ",23253.86426,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.","Billion Btu"
"P1ICB","CA",304752.6792,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.","Billion Btu"
"P1ICB","NM",24442.54716,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.","Billion Btu"
"P1ICB","TX",1214199.386,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.","Billion Btu"
"P1ICD","AZ",8.93946,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" average price in the  industrial sector.","Dollars per million Btu"
"P1ICD","CA",12.96617,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" average price in the  industrial sector.","Dollars per million Btu"
"P1ICD","NM",7.99086,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" average price in the  industrial sector.","Dollars per million Btu"
"P1ICD","TX",15.55263,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" average price in the  industrial sector.","Dollars per million Btu"
"P1ICP","AZ",3595.48329,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.","Thousand barrels"
"P1ICP","CA",49817.84567,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.","Thousand barrels"
"P1ICP","NM",3906.13426,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.","Thousand barrels"
"P1ICP","TX",211856.9776,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" consumed by the industrial sector.","Thousand barrels"
"P1ICV","AZ",206.16966,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" expenditures in the  industrial sector.","Million dollars"
"P1ICV","CA",1224.92854,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" expenditures in the  industrial sector.","Million dollars"
"P1ICV","NM",85.29198,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" expenditures in the  industrial sector.","Million dollars"
"P1ICV","TX",9669.42576,"Asphalt and road oil, kerosene, lubricants, and ""other petroleum products"" expenditures in the  industrial sector.","Million dollars"
"P1TCB","AZ",25454.54651,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.","Billion Btu"
"P1TCB","CA",337568.446,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.","Billion Btu"
"P1TCB","NM",25843.10502,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.","Billion Btu"
"P1TCB","TX",1240083.141,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.","Billion Btu"
"P1TCD","AZ",11.60469,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all sectors.","Dollars per million Btu"
"P1TCD","CA",14.97592,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all sectors.","Dollars per million Btu"
"P1TCD","NM",11.57335,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all sectors.","Dollars per million Btu"
"P1TCD","TX",15.65043,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all sectors.","Dollars per million Btu"
"P1TCP","AZ",3979.66083,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.","Thousand barrels"
"P1TCP","CA",55308.66363,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.","Thousand barrels"
"P1TCP","NM",4151.66074,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.","Thousand barrels"
"P1TCP","TX",216202.5946,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption.","Thousand barrels"
"P1TCV","AZ",293.17573,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total expenditures.","Million dollars"
"P1TCV","CA",1906.23891,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total expenditures.","Million dollars"
"P1TCV","NM",139.73954,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total expenditures.","Million dollars"
"P1TCV","TX",10135.32005,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total expenditures.","Million dollars"
"P1TXB","AZ",25454.54651,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Billion Btu"
"P1TXB","CA",319847.2236,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Billion Btu"
"P1TXB","NM",25843.10502,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Billion Btu"
"P1TXB","TX",1224723.869,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Billion Btu"
"P1TXD","AZ",11.60469052,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all end-use sectors.","Dollars per million Btu"
"P1TXD","CA",17.14633598,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all end-use sectors.","Dollars per million Btu"
"P1TXD","NM",11.57335275,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all end-use sectors.","Dollars per million Btu"
"P1TXD","TX",15.99977276,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all end-use sectors.","Dollars per million Btu"
"P1TXP","AZ",3979.66082,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Thousand barrels"
"P1TXP","CA",52366.89363,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Thousand barrels"
"P1TXP","NM",4151.66074,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Thousand barrels"
"P1TXP","TX",213652.9146,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Thousand barrels"
"P1TXV","AZ",293.17573,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.","Million dollars"
"P1TXV","CA",1878.6498,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.","Million dollars"
"P1TXV","NM",139.73954,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.","Million dollars"
"P1TXV","TX",10115.81377,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.","Million dollars"
"P5RFB","AZ",190.99214,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).","Billion Btu"
"P5RFB","CA",210281.5529,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).","Billion Btu"
"P5RFB","NM",13768.85627,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).","Billion Btu"
"P5RFB","TX",592476.5287,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).","Billion Btu"
"POICB","AZ",2170.51386,"Other petroleum products consumed by the industrial sector.","Billion Btu"
"POICB","CA",223708.3027,"Other petroleum products consumed by the industrial sector.","Billion Btu"
"POICB","NM",13793.49038,"Other petroleum products consumed by the industrial sector.","Billion Btu"
"POICB","TX",1137066.227,"Other petroleum products consumed by the industrial sector.","Billion Btu"
"POICD","AZ",16.70633,"Other petroleum products average price in the industrial sector.","Dollars per million Btu"
