"MSN","StateCode","Data","Description","Unit"
"RFACB","AZ",0,"Residual fuel oil consumed by the transportation sector.","Billion Btu"
"RFACB","CA",242614.6264,"Residual fuel oil consumed by the transportation sector.","Billion Btu"
"RFACB","NM",0,"Residual fuel oil consumed by the transportation sector.","Billion Btu"
"RFACB","TX",142276.101,"Residual fuel oil consumed by the transportation sector.","Billion Btu"
"RFACD","AZ",0,"Residual fuel oil price in the transportation sector.","Dollars per million Btu"
"RFACD","CA",12.57194,"Residual fuel oil price in the transportation sector.","Dollars per million Btu"
"RFACD","NM",0,"Residual fuel oil price in the transportation sector.","Dollars per million Btu"
"RFACD","TX",7.15235,"Residual fuel oil price in the transportation sector.","Dollars per million Btu"
"RFACP","AZ",0,"Residual fuel oil consumed by the transportation sector.","Thousand barrels"
"RFACP","CA",38589.88809,"Residual fuel oil consumed by the transportation sector.","Thousand barrels"
"RFACP","NM",0,"Residual fuel oil consumed by the transportation sector.","Thousand barrels"
"RFACP","TX",22630.20535,"Residual fuel oil consumed by the transportation sector.","Thousand barrels"
"RFACV","AZ",0,"Residual fuel oil expenditures in the transportation sector.","Million dollars"
"RFACV","CA",3050.13653,"Residual fuel oil expenditures in the transportation sector.","Million dollars"
"RFACV","NM",0,"Residual fuel oil expenditures in the transportation sector.","Million dollars"
"RFACV","TX",1017.60847,"Residual fuel oil expenditures in the transportation sector.","Million dollars"
"RFCCB","AZ",0,"Residual fuel oil consumed by the commercial sector.","Billion Btu"
"RFCCB","CA",0,"Residual fuel oil consumed by the commercial sector.","Billion Btu"
"RFCCB","NM",0,"Residual fuel oil consumed by the commercial sector.","Billion Btu"
"RFCCB","TX",23.88337,"Residual fuel oil consumed by the commercial sector.","Billion Btu"
"RFCCD","AZ",0,"Residual fuel oil price in the commercial sector.","Dollars per million Btu"
"RFCCD","CA",0,"Residual fuel oil price in the commercial sector.","Dollars per million Btu"
"RFCCD","NM",0,"Residual fuel oil price in the commercial sector.","Dollars per million Btu"
"RFCCD","TX",9.44741,"Residual fuel oil price in the commercial sector.","Dollars per million Btu"
"RFCCP","AZ",0,"Residual fuel oil consumed by the commercial sector.","Thousand barrels"
"RFCCP","CA",0,"Residual fuel oil consumed by the commercial sector.","Thousand barrels"
"RFCCP","NM",0,"Residual fuel oil consumed by the commercial sector.","Thousand barrels"
