"MSN","StateCode","Data","Description","Unit"
"TEACB","AZ",493623.1949,"Total energy consumed by the transportation sector.","Billion Btu"
"TEACB","CA",3129539.397,"Total energy consumed by the transportation sector.","Billion Btu"
"TEACB","NM",202385.1847,"Total energy consumed by the transportation sector.","Billion Btu"
"TEACB","TX",2724206.676,"Total energy consumed by the transportation sector.","Billion Btu"
"TEACD","AZ",17.60474,"Total energy average price in the transportation sector.","Dollars per million Btu"
"TEACD","CA",17.83812,"Total energy average price in the transportation sector.","Dollars per million Btu"
"TEACD","NM",18.48753,"Total energy average price in the transportation sector.","Dollars per million Btu"
"TEACD","TX",16.40986,"Total energy average price in the transportation sector.","Dollars per million Btu"
"TEACV","AZ",8333.45021,"Total energy expenditures in the transportation sector.","Million dollars"
"TEACV","CA",55601.62655,"Total energy expenditures in the transportation sector.","Million dollars"
"TEACV","NM",3535.75519,"Total energy expenditures in the transportation sector.","Million dollars"
"TEACV","TX",43123.08536,"Total energy expenditures in the transportation sector.","Million dollars"
"TECCB","AZ",352103.5235,"Total energy consumed by the commercial sector.","Billion Btu"
"TECCB","CA",1578660.295,"Total energy consumed by the commercial sector.","Billion Btu"
"TECCB","NM",122394.6555,"Total energy consumed by the commercial sector.","Billion Btu"
"TECCB","TX",1459571.777,"Total energy consumed by the commercial sector.","Billion Btu"
"TECCD","AZ",23.15201,"Total energy average price in the commercial sector.","Dollars per million Btu"
"TECCD","CA",26.54499,"Total energy average price in the commercial sector.","Dollars per million Btu"
"TECCD","NM",16.61226,"Total energy average price in the commercial sector.","Dollars per million Btu"
"TECCD","TX",21.89182,"Total energy average price in the commercial sector.","Dollars per million Btu"
"TECCV","AZ",3247.40753,"Total energy expenditures in the commercial sector.","Million dollars"
"TECCV","CA",18716.52188,"Total energy expenditures in the commercial sector.","Million dollars"
"TECCV","NM",976.08483,"Total energy expenditures in the commercial sector.","Million dollars"
"TECCV","TX",13269.4566,"Total energy expenditures in the commercial sector.","Million dollars"
"TEEIB","AZ",1057668.043,"Total energy consumed by the electric power sector.","Billion Btu"
"TEEIB","CA",1749620.228,"Total energy consumed by the electric power sector.","Billion Btu"
"TEEIB","NM",395143.6816,"Total energy consumed by the electric power sector.","Billion Btu"
"TEEIB","TX",3556758.114,"Total energy consumed by the electric power sector.","Billion Btu"
"TEGDS","AZ",6.90255,"Energy expenditures as share of current-dollar GDP.","Percent"
"TEGDS","CA",5.55661,"Energy expenditures as share of current-dollar GDP.","Percent"
"TEGDS","NM",8.67649,"Energy expenditures as share of current-dollar GDP.","Percent"
"TEGDS","TX",10.09536,"Energy expenditures as share of current-dollar GDP.","Percent"
"TEICB","AZ",207759.871,"Total energy consumed by the industrial sector.","Billion Btu"
"TEICB","CA",1769997.27,"Total energy consumed by the industrial sector.","Billion Btu"
"TEICB","NM",227361.0232,"Total energy consumed by the industrial sector.","Billion Btu"
"TEICB","TX",5502161.262,"Total energy consumed by the industrial sector.","Billion Btu"
"TEICD","AZ",13.38852,"Total energy average price in the industrial sector.","Dollars per million Btu"
"TEICD","CA",11.37219,"Total energy average price in the industrial sector.","Dollars per million Btu"
"TEICD","NM",12.9546,"Total energy average price in the industrial sector.","Dollars per million Btu"
"TEICD","TX",11.14863,"Total energy average price in the industrial sector.","Dollars per million Btu"
"TEICV","AZ",1643.8368,"Total energy expenditures in the industrial sector.","Million dollars"
"TEICV","CA",11655.8205,"Total energy expenditures in the industrial sector.","Million dollars"
"TEICV","NM",776.9347,"Total energy expenditures in the industrial sector.","Million dollars"
"TEICV","TX",40040.80148,"Total energy expenditures in the industrial sector.","Million dollars"
"TEPFB","AZ",562400.8994,"Total energy used as process fuel.","Billion Btu"
"TEPFB","CA",2316315.175,"Total energy used as process fuel.","Billion Btu"
"TEPFB","NM",294387.3667,"Total energy used as process fuel.","Billion Btu"
"TEPFB","TX",3805681.987,"Total energy used as process fuel.","Billion Btu"
"TEPRB","AZ",570994.0459,"Total energy production.","Billion Btu"
"TEPRB","CA",2605311.838,"Total energy production.","Billion Btu"
"TEPRB","NM",2412219.049,"Total energy production.","Billion Btu"
"TEPRB","TX",11914996.72,"Total energy production.","Billion Btu"
"TERCB","AZ",400826.9578,"Total energy consumed by the residential sector.","Billion Btu"
"TERCB","CA",1527310.983,"Total energy consumed by the residential sector.","Billion Btu"
"TERCB","NM",117954.0516,"Total energy consumed by the residential sector.","Billion Btu"
"TERCB","TX",1611463.135,"Total energy consumed by the residential sector.","Billion Btu"
"TERCD","AZ",27.74589,"Total energy average price in the residential sector.","Dollars per million Btu"
"TERCD","CA",22.24905,"Total energy average price in the residential sector.","Dollars per million Btu"
"TERCD","NM",17.73259,"Total energy average price in the residential sector.","Dollars per million Btu"
"TERCD","TX",28.19682,"Total energy average price in the residential sector.","Dollars per million Btu"
"TERCV","AZ",4314.61229,"Total energy total expenditures in the residential sector.","Million dollars"
"TERCV","CA",18737.71969,"Total energy total expenditures in the residential sector.","Million dollars"
"TERCV","NM",1165.49581,"Total energy total expenditures in the residential sector.","Million dollars"
"TERCV","TX",18783.70036,"Total energy total expenditures in the residential sector.","Million dollars"
"TERFB","AZ",190.99214,"Total energy used as refinery fuel.","Billion Btu"
"TERFB","CA",319926.8886,"Total energy used as refinery fuel.","Billion Btu"
"TERFB","NM",30085.13696,"Total energy used as refinery fuel.","Billion Btu"
"TERFB","TX",838866.8074,"Total energy used as refinery fuel.","Billion Btu"
"TETCB","AZ",1454313.457,"Total energy consumption.","Billion Btu"
"TETCB","CA",8005515.051,"Total energy consumption.","Billion Btu"
"TETCB","NM",670094.5064,"Total energy consumption.","Billion Btu"
"TETCB","TX",11297410.59,"Total energy consumption.","Billion Btu"
"TETCD","AZ",19.66483,"Total energy average price.","Dollars per million Btu"
"TETCD","CA",18.40528,"Total energy average price.","Dollars per million Btu"
"TETCD","NM",17.17897,"Total energy average price.","Dollars per million Btu"
"TETCD","TX",15.37925,"Total energy average price.","Dollars per million Btu"
"TETCV","AZ",17539.30683,"Total energy expenditures.","Million dollars"
"TETCV","CA",104711.6886,"Total energy expenditures.","Million dollars"
"TETCV","NM",6454.27053,"Total energy expenditures.","Million dollars"
"TETCV","TX",115217.0438,"Total energy expenditures.","Million dollars"
"TETGR","AZ",6.29971,"Total energy consumed per dollar of real gross domestic product.","Thousand Btu per chained (2000) dollar"
"TETGR","CA",4.60908,"Total energy consumed per dollar of real gross domestic product.","Thousand Btu per chained (2000) dollar"
"TETGR","NM",9.7042,"Total energy consumed per dollar of real gross domestic product.","Thousand Btu per chained (2000) dollar"
"TETGR","TX",10.5936,"Total energy consumed per dollar of real gross domestic product.","Thousand Btu per chained (2000) dollar"
"TETPB","AZ",220.76352,"Total energy consumption per capita.","Million Btu"
"TETPB","CA",217.02447,"Total energy consumption per capita.","Million Btu"
"TETPB","NM",333.82628,"Total energy consumption per capita.","Million Btu"
"TETPB","TX",456.08049,"Total energy consumption per capita.","Million Btu"
"TETPV","AZ",2662.45153,"Total energy expenditures per capita.","Dollars"
"TETPV","CA",2838.6679,"Total energy expenditures per capita.","Dollars"
"TETPV","NM",3215.37503,"Total energy expenditures per capita.","Dollars"
"TETPV","TX",4651.35308,"Total energy expenditures per capita.","Dollars"
"TETXB","AZ",1454313.547,"Total end-use energy consumption.","Billion Btu"
"TETXB","CA",8005507.945,"Total end-use energy consumption.","Billion Btu"
"TETXB","NM",670094.915,"Total end-use energy consumption.","Billion Btu"
"TETXB","TX",11297402.85,"Total end-use energy consumption.","Billion Btu"
"TETXD","AZ",19.66482377,"Total end-use energy average price.","Dollars per million Btu"
"TETXD","CA",18.4052811,"Total end-use energy average price.","Dollars per million Btu"
"TETXD","NM",17.17897394,"Total end-use energy average price.","Dollars per million Btu"
"TETXD","TX",15.37924605,"Total end-use energy average price.","Dollars per million Btu"
"TETXV","AZ",17539.30683,"Total end-use energy expenditures.","Million dollars"
"TETXV","CA",104711.6886,"Total end-use energy expenditures.","Million dollars"
"TETXV","NM",6454.27053,"Total end-use energy expenditures.","Million dollars"
"TETXV","TX",115217.0438,"Total end-use energy expenditures.","Million dollars"
"TNACB","AZ",493623.1949,"Total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNACB","CA",3123477.18,"Total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNACB","NM",202385.1847,"Total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNACB","TX",2723697.569,"Total energy consumed by the transportation sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNCCB","AZ",141116.305,"Total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNCCB","CA",709131.8627,"Total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNCCB","NM",59683.91996,"Total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNCCB","TX",608774.218,"Total energy consumed by the commercial sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNICB","AZ",127341.8036,"Total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNICB","CA",1426544.192,"Total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNICB","NM",181343.4543,"Total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNICB","TX",4806204.273,"Total energy consumed by the industrial sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNRCB","AZ",164988.9006,"Total energy consumed by the residential sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNRCB","CA",882562.2794,"Total energy consumed by the residential sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNRCB","NM",71257.41917,"Total energy consumed by the residential sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNRCB","TX",679528.5825,"Total energy consumed by the residential sector excluding the sector's share of electrical system energy losses.","Billion Btu"
"TNSCB","AZ",891912.6478,"Total primary energy and electricity consumed.","Billion Btu"
"TNSCB","CA",5689219.192,"Total primary energy and electricity consumed.","Billion Btu"
"TNSCB","NM",375707.5483,"Total primary energy and electricity consumed.","Billion Btu"
"TNSCB","TX",7491720.863,"Total primary energy and electricity consumed.","Billion Btu"
"TNTXB","AZ",927070.2041,"Total primary energy and electricity consumed by the end-use sectors.","Billion Btu"
"TNTXB","CA",6141715.515,"Total primary energy and electricity consumed by the end-use sectors.","Billion Btu"
"TNTXB","NM",514669.9781,"Total primary energy and electricity consumed by the end-use sectors.","Billion Btu"
"TNTXB","TX",8818204.643,"Total primary energy and electricity consumed by the end-use sectors.","Billion Btu"
"TPOPP","AZ",6587.653,"Resident population including Armed Forces.","Thousand"
"TPOPP","CA",36887.615,"Resident population including Armed Forces.","Thousand"
"TPOPP","NM",2007.315,"Resident population including Armed Forces.","Thousand"
"TPOPP","TX",24770.651,"Resident population including Armed Forces.","Thousand"
"REPRB","AZ",88571.38442,"Renewable energy production.","Billion Btu"
"REPRB","CA",635062.3653,"Renewable energy production.","Billion Btu"
"REPRB","NM",33785.17435,"Renewable energy production.","Billion Btu"
"REPRB","TX",303697.0626,"Renewable energy production.","Billion Btu"
"RETCB","AZ",103493.2854,"Renewable energy total consumption.","Billion Btu"
"RETCB","CA",712704.4602,"Renewable energy total consumption.","Billion Btu"
"RETCB","NM",35635.38371,"Renewable energy total consumption.","Billion Btu"
"RETCB","TX",356634.8206,"Renewable energy total consumption.","Billion Btu"
"ROPRB","AZ",80947.77168,"Renewable energy production, other than fuel ethanol.","Billion Btu"
"ROPRB","CA",628201.1138,"Renewable energy production, other than fuel ethanol.","Billion Btu"
"ROPRB","NM",29973.36798,"Renewable energy production, other than fuel ethanol.","Billion Btu"
