"","MSN","StateCode","Year","Data"
"1","ABICB","CA",1960,0
"2","ABICB","CA",1961,0
"3","ABICB","CA",1962,0
"4","ABICB","CA",1963,0
"5","ABICB","CA",1964,0
"6","ABICB","CA",1965,0
"7","ABICB","CA",1966,0
"8","ABICB","CA",1967,0
"9","ABICB","CA",1968,0
"10","ABICB","CA",1969,0
"11","ABICB","CA",1970,0
"12","ABICB","CA",1971,0
"13","ABICB","CA",1972,0
"14","ABICB","CA",1973,0
"15","ABICB","CA",1974,0
"16","ABICB","CA",1975,0
"17","ABICB","CA",1976,0
"18","ABICB","CA",1977,0
"19","ABICB","CA",1978,0
"20","ABICB","CA",1979,0
"21","ABICB","CA",1980,0
"22","ABICB","CA",1981,716.80045
"23","ABICB","CA",1982,765.58594
"24","ABICB","CA",1983,108.28187
"25","ABICB","CA",1984,12.43327
"26","ABICB","CA",1985,585.59511
"27","ABICB","CA",1986,80.96497
"28","ABICB","CA",1987,6.8357
"29","ABICB","CA",1988,-157.27751
"30","ABICB","CA",1989,15.26505
"31","ABICB","CA",1990,33.21458
"32","ABICB","CA",1991,-10.23315
"33","ABICB","CA",1992,19.79704
"34","ABICB","CA",1993,18.73954
"35","ABICB","CA",1994,769.11757
"36","ABICB","CA",1995,642.46184
"37","ABICB","CA",1996,848.4109
"38","ABICB","CA",1997,1092.17099
"39","ABICB","CA",1998,474.99075
"40","ABICB","CA",1999,746.80056
"41","ABICB","CA",2000,448.77159
"42","ABICB","CA",2001,739.36885
"43","ABICB","CA",2002,907.32565
"44","ABICB","CA",2003,884.51889
"45","ABICB","CA",2004,1251.46149
"46","ABICB","CA",2005,1016.42681
"47","ABICB","CA",2006,76.26973
"48","ABICB","CA",2007,207.63605
"49","ABICB","CA",2008,11.0474
"50","ABICB","CA",2009,-87.47043
"51","ABICP","CA",1960,0
"52","ABICP","CA",1961,0
"53","ABICP","CA",1962,0
"54","ABICP","CA",1963,0
"55","ABICP","CA",1964,0
"56","ABICP","CA",1965,0
"57","ABICP","CA",1966,0
"58","ABICP","CA",1967,0
"59","ABICP","CA",1968,0
"60","ABICP","CA",1969,0
"61","ABICP","CA",1970,0
"62","ABICP","CA",1971,0
"63","ABICP","CA",1972,0
"64","ABICP","CA",1973,0
"65","ABICP","CA",1974,0
"66","ABICP","CA",1975,0
"67","ABICP","CA",1976,0
"68","ABICP","CA",1977,0
"69","ABICP","CA",1978,0
"70","ABICP","CA",1979,0
"71","ABICP","CA",1980,0
"72","ABICP","CA",1981,141.99692
"73","ABICP","CA",1982,151.66124
"74","ABICP","CA",1983,21.45045
"75","ABICP","CA",1984,2.46301
"76","ABICP","CA",1985,116.00537
"77","ABICP","CA",1986,16.03902
"78","ABICP","CA",1987,1.35414
"79","ABICP","CA",1988,-31.1564
"80","ABICP","CA",1989,3.02398
"81","ABICP","CA",1990,6.57975
"82","ABICP","CA",1991,-2.02717
"83","ABICP","CA",1992,3.92176
"84","ABICP","CA",1993,3.71227
"85","ABICP","CA",1994,152.36085
"86","ABICP","CA",1995,127.27057
"87","ABICP","CA",1996,168.06872
"88","ABICP","CA",1997,216.35717
"89","ABICP","CA",1998,94.09484
"90","ABICP","CA",1999,147.93989
"91","ABICP","CA",2000,88.90087
"92","ABICP","CA",2001,146.46768
"93","ABICP","CA",2002,179.73963
"94","ABICP","CA",2003,175.22165
"95","ABICP","CA",2004,247.91234
"96","ABICP","CA",2005,201.35238
"97","ABICP","CA",2006,15.1089
"98","ABICP","CA",2007,41.13234
"99","ABICP","CA",2008,2.18847
"100","ABICP","CA",2009,-17.32774
"101","ARICB","CA",1960,70774.23143
"102","ARICB","CA",1961,76144.71352
"103","ARICB","CA",1962,78080.1994
"104","ARICB","CA",1963,80479.18521
"105","ARICB","CA",1964,83422.03673
"106","ARICB","CA",1965,78915.22805
"107","ARICB","CA",1966,80100.43033
"108","ARICB","CA",1967,73535.15058
"109","ARICB","CA",1968,78732.00371
"110","ARICB","CA",1969,86848.51496
"111","ARICB","CA",1970,80189.82455
"112","ARICB","CA",1971,80854.88162
"113","ARICB","CA",1972,81142.71002
"114","ARICB","CA",1973,87351.64108
"115","ARICB","CA",1974,79024.01439
"116","ARICB","CA",1975,87238.73266
"117","ARICB","CA",1976,93449.23997
"118","ARICB","CA",1977,99518.97052
"119","ARICB","CA",1978,101859.8548
"120","ARICB","CA",1979,142557.645
"121","ARICB","CA",1980,122308.7164
"122","ARICB","CA",1981,65241.51341
"123","ARICB","CA",1982,65153.73579
"124","ARICB","CA",1983,73769.4404
"125","ARICB","CA",1984,101279.4951
"126","ARICB","CA",1985,91894.48861
"127","ARICB","CA",1986,102016.5525
"128","ARICB","CA",1987,109215.7437
"129","ARICB","CA",1988,101814.9885
"130","ARICB","CA",1989,99513.65754
"131","ARICB","CA",1990,98621.05793
"132","ARICB","CA",1991,94569.61171
"133","ARICB","CA",1992,89971.09246
"134","ARICB","CA",1993,82504.34456
"135","ARICB","CA",1994,81207.5955
"136","ARICB","CA",1995,81036.2289
"137","ARICB","CA",1996,82279.99878
"138","ARICB","CA",1997,76390.54321
"139","ARICB","CA",1998,103333.9789
"140","ARICB","CA",1999,135149.8839
"141","ARICB","CA",2000,135103.8937
"142","ARICB","CA",2001,125554.839
