"","MSN","StateCode","Year","Data"
"1","ABICB","NM",1960,0
"2","ABICB","NM",1961,0
"3","ABICB","NM",1962,0
"4","ABICB","NM",1963,0
"5","ABICB","NM",1964,0
"6","ABICB","NM",1965,0
"7","ABICB","NM",1966,0
"8","ABICB","NM",1967,0
"9","ABICB","NM",1968,0
"10","ABICB","NM",1969,0
"11","ABICB","NM",1970,0
"12","ABICB","NM",1971,0
"13","ABICB","NM",1972,0
"14","ABICB","NM",1973,0
"15","ABICB","NM",1974,0
"16","ABICB","NM",1975,0
"17","ABICB","NM",1976,0
"18","ABICB","NM",1977,0
"19","ABICB","NM",1978,0
"20","ABICB","NM",1979,0
"21","ABICB","NM",1980,0
"22","ABICB","NM",1981,37.85288
"23","ABICB","NM",1982,34.36901
"24","ABICB","NM",1983,5.12947
"25","ABICB","NM",1984,0.40753
"26","ABICB","NM",1985,19.1509
"27","ABICB","NM",1986,2.75868
"28","ABICB","NM",1987,0.22872
"29","ABICB","NM",1988,-5.38945
"30","ABICB","NM",1989,0.54756
"31","ABICB","NM",1990,1.18638
"32","ABICB","NM",1991,-0.52782
"33","ABICB","NM",1992,1.00183
"34","ABICB","NM",1993,0.94181
"35","ABICB","NM",1994,38.24966
"36","ABICB","NM",1995,33.18111
"37","ABICB","NM",1996,43.35303
"38","ABICB","NM",1997,55.13587
"39","ABICB","NM",1998,23.57749
"40","ABICB","NM",1999,37.47726
"41","ABICB","NM",2000,22.35497
"42","ABICB","NM",2001,35.73454
"43","ABICB","NM",2002,43.59236
"44","ABICB","NM",2003,42.61693
"45","ABICB","NM",2004,70.28901
"46","ABICB","NM",2005,57.0796
"47","ABICB","NM",2006,4.58631
"48","ABICB","NM",2007,12.57906
"49","ABICB","NM",2008,0.73458
"50","ABICB","NM",2009,-5.91691
"51","ABICP","NM",1960,0
"52","ABICP","NM",1961,0
"53","ABICP","NM",1962,0
"54","ABICP","NM",1963,0
"55","ABICP","NM",1964,0
"56","ABICP","NM",1965,0
"57","ABICP","NM",1966,0
"58","ABICP","NM",1967,0
"59","ABICP","NM",1968,0
"60","ABICP","NM",1969,0
"61","ABICP","NM",1970,0
"62","ABICP","NM",1971,0
"63","ABICP","NM",1972,0
"64","ABICP","NM",1973,0
"65","ABICP","NM",1974,0
"66","ABICP","NM",1975,0
"67","ABICP","NM",1976,0
"68","ABICP","NM",1977,0
"69","ABICP","NM",1978,0
"70","ABICP","NM",1979,0
"71","ABICP","NM",1980,0
"72","ABICP","NM",1981,7.49859
"73","ABICP","NM",1982,6.80844
"74","ABICP","NM",1983,1.01614
"75","ABICP","NM",1984,0.08073
"76","ABICP","NM",1985,3.79376
"77","ABICP","NM",1986,0.54649
"78","ABICP","NM",1987,0.04531
"79","ABICP","NM",1988,-1.06764
"80","ABICP","NM",1989,0.10847
"81","ABICP","NM",1990,0.23502
"82","ABICP","NM",1991,-0.10456
"83","ABICP","NM",1992,0.19846
"84","ABICP","NM",1993,0.18657
"85","ABICP","NM",1994,7.57719
"86","ABICP","NM",1995,6.57312
"87","ABICP","NM",1996,8.58816
"88","ABICP","NM",1997,10.92232
"89","ABICP","NM",1998,4.67066
"90","ABICP","NM",1999,7.42418
"91","ABICP","NM",2000,4.42848
"92","ABICP","NM",2001,7.07895
"93","ABICP","NM",2002,8.63557
"94","ABICP","NM",2003,8.44234
"95","ABICP","NM",2004,13.92413
"96","ABICP","NM",2005,11.30737
"97","ABICP","NM",2006,0.90854
"98","ABICP","NM",2007,2.49189
"99","ABICP","NM",2008,0.14552
"100","ABICP","NM",2009,-1.17213
"101","ARICB","NM",1960,6396.79018
"102","ARICB","NM",1961,6716.24172
"103","ARICB","NM",1962,6688.73609
"104","ARICB","NM",1963,6815.97456
"105","ARICB","NM",1964,7773.469
"106","ARICB","NM",1965,9209.90446
"107","ARICB","NM",1966,8144.31363
"108","ARICB","NM",1967,7575.74812
"109","ARICB","NM",1968,9667.48831
"110","ARICB","NM",1969,6418.0506
"111","ARICB","NM",1970,8017.62681
"112","ARICB","NM",1971,5393.73954
"113","ARICB","NM",1972,6401.57056
"114","ARICB","NM",1973,6604.93741
"115","ARICB","NM",1974,9058.57519
"116","ARICB","NM",1975,10830.37219
"117","ARICB","NM",1976,9699.06492
"118","ARICB","NM",1977,7953.0578
"119","ARICB","NM",1978,9501.10322
"120","ARICB","NM",1979,9429.7189
"121","ARICB","NM",1980,7552.98949
"122","ARICB","NM",1981,7721.65909
"123","ARICB","NM",1982,9610.17431
"124","ARICB","NM",1983,11773.68238
"125","ARICB","NM",1984,12612.77405
"126","ARICB","NM",1985,9960.82466
"127","ARICB","NM",1986,10724.60776
"128","ARICB","NM",1987,13728.31817
"129","ARICB","NM",1988,14019.47771
"130","ARICB","NM",1989,11052.32403
"131","ARICB","NM",1990,9625.90939
"132","ARICB","NM",1991,10117.33691
"133","ARICB","NM",1992,12433.53443
"134","ARICB","NM",1993,16179.46817
"135","ARICB","NM",1994,14030.73602
"136","ARICB","NM",1995,12336.54359
"137","ARICB","NM",1996,10936.11685
"138","ARICB","NM",1997,8179.98511
"139","ARICB","NM",1998,13592.78849
"140","ARICB","NM",1999,12624.61188
"141","ARICB","NM",2000,11778.1003
"142","ARICB","NM",2001,5250.17366
"143","ARICB","NM",2002,13234.20174
"144","ARICB","NM",2003,13125.77017
"145","ARICB","NM",2004,13206.4841
"146","ARICB","NM",2005,11943.20769
"147","ARICB","NM",2006,12825.79815
"148","ARICB","NM",2007,15601.94413
"149","ARICB","NM",2008,11727.13548
"150","ARICB","NM",2009,10117.67946
"151","ARICD","NM",1970,0.57613
"152","ARICD","NM",1971,0.82272
"153","ARICD","NM",1972,0.82484
"154","ARICD","NM",1973,0.85071
"155","ARICD","NM",1974,1.74794
"156","ARICD","NM",1975,1.83959
"157","ARICD","NM",1976,1.67787
"158","ARICD","NM",1977,1.78251
"159","ARICD","NM",1978,1.93603
"160","ARICD","NM",1979,2.47158
"161","ARICD","NM",1980,3.66664
"162","ARICD","NM",1981,4.47842
"163","ARICD","NM",1982,4.1611
"164","ARICD","NM",1983,4.15937
"165","ARICD","NM",1984,4.50271
"166","ARICD","NM",1985,4.7882
"167","ARICD","NM",1986,4.35166
"168","ARICD","NM",1987,3.18608
"169","ARICD","NM",1988,3.39284
"170","ARICD","NM",1989,2.8721
"171","ARICD","NM",1990,2.75845
"172","ARICD","NM",1991,3.44878
"173","ARICD","NM",1992,2.98883
