"","MSN","StateCode","Year","Data"
"1","ABICB","TX",1960,0
"2","ABICB","TX",1961,0
"3","ABICB","TX",1962,0
"4","ABICB","TX",1963,0
"5","ABICB","TX",1964,0
"6","ABICB","TX",1965,0
"7","ABICB","TX",1966,0
"8","ABICB","TX",1967,0
"9","ABICB","TX",1968,0
"10","ABICB","TX",1969,0
"11","ABICB","TX",1970,0
"12","ABICB","TX",1971,0
"13","ABICB","TX",1972,0
"14","ABICB","TX",1973,0
"15","ABICB","TX",1974,0
"16","ABICB","TX",1975,0
"17","ABICB","TX",1976,0
"18","ABICB","TX",1977,0
"19","ABICB","TX",1978,0
"20","ABICB","TX",1979,0
"21","ABICB","TX",1980,0
"22","ABICB","TX",1981,1387.36617
"23","ABICB","TX",1982,1328.80023
"24","ABICB","TX",1983,195.95735
"25","ABICB","TX",1984,23.52151
"26","ABICB","TX",1985,1049.69132
"27","ABICB","TX",1986,145.1042
"28","ABICB","TX",1987,11.80697
"29","ABICB","TX",1988,-277.80916
"30","ABICB","TX",1989,27.13855
"31","ABICB","TX",1990,61.46798
"32","ABICB","TX",1991,-21.08454
"33","ABICB","TX",1992,39.51095
"34","ABICB","TX",1993,37.47171
"35","ABICB","TX",1994,1581.76132
"36","ABICB","TX",1995,1373.31668
"37","ABICB","TX",1996,1805.36016
"38","ABICB","TX",1997,2363.41111
"39","ABICB","TX",1998,1035.90235
"40","ABICB","TX",1999,1664.54201
"41","ABICB","TX",2000,997.42271
"42","ABICB","TX",2001,1614.17766
"43","ABICB","TX",2002,1973.88824
"44","ABICB","TX",2003,1991.58825
"45","ABICB","TX",2004,2888.7229
"46","ABICB","TX",2005,2150.01741
"47","ABICB","TX",2006,163.57711
"48","ABICB","TX",2007,466.45938
"49","ABICB","TX",2008,25.97665
"50","ABICB","TX",2009,-220.19169
"51","ABICP","TX",1960,0
"52","ABICP","TX",1961,0
"53","ABICP","TX",1962,0
"54","ABICP","TX",1963,0
"55","ABICP","TX",1964,0
"56","ABICP","TX",1965,0
"57","ABICP","TX",1966,0
"58","ABICP","TX",1967,0
"59","ABICP","TX",1968,0
"60","ABICP","TX",1969,0
"61","ABICP","TX",1970,0
"62","ABICP","TX",1971,0
"63","ABICP","TX",1972,0
"64","ABICP","TX",1973,0
"65","ABICP","TX",1974,0
"66","ABICP","TX",1975,0
"67","ABICP","TX",1976,0
"68","ABICP","TX",1977,0
"69","ABICP","TX",1978,0
"70","ABICP","TX",1979,0
"71","ABICP","TX",1980,0
"72","ABICP","TX",1981,274.83482
"73","ABICP","TX",1982,263.23301
"74","ABICP","TX",1983,38.81881
"75","ABICP","TX",1984,4.65957
"76","ABICP","TX",1985,207.94202
"77","ABICP","TX",1986,28.74489
"78","ABICP","TX",1987,2.33894
"79","ABICP","TX",1988,-55.03351
"80","ABICP","TX",1989,5.3761
"81","ABICP","TX",1990,12.1767
"82","ABICP","TX",1991,-4.17681
"83","ABICP","TX",1992,7.82705
"84","ABICP","TX",1993,7.42308
"85","ABICP","TX",1994,313.34416
"86","ABICP","TX",1995,272.05164
"87","ABICP","TX",1996,357.6387
"88","ABICP","TX",1997,468.18762
"89","ABICP","TX",1998,205.21045
"90","ABICP","TX",1999,329.74287
"91","ABICP","TX",2000,197.5877
"92","ABICP","TX",2001,319.76578
"93","ABICP","TX",2002,391.02382
"94","ABICP","TX",2003,394.53016
"95","ABICP","TX",2004,572.25097
"96","ABICP","TX",2005,425.9147
"97","ABICP","TX",2006,32.40434
"98","ABICP","TX",2007,92.40479
"99","ABICP","TX",2008,5.14593
"100","ABICP","TX",2009,-43.61959
"101","ARICB","TX",1960,41700.15006
"102","ARICB","TX",1961,48304.65713
"103","ARICB","TX",1962,50028.63007
"104","ARICB","TX",1963,47426.65965
"105","ARICB","TX",1964,48850.52367
"106","ARICB","TX",1965,51835.30801
"107","ARICB","TX",1966,56112.98503
"108","ARICB","TX",1967,59552.82597
"109","ARICB","TX",1968,61556.25906
"110","ARICB","TX",1969,66144.67003
"111","ARICB","TX",1970,78867.81815
"112","ARICB","TX",1971,76174.8896
"113","ARICB","TX",1972,75513.20535
"114","ARICB","TX",1973,77978.03958
"115","ARICB","TX",1974,81041.71494
"116","ARICB","TX",1975,54080.38215
"117","ARICB","TX",1976,44787.12216
"118","ARICB","TX",1977,36099.21111
"119","ARICB","TX",1978,47413.57372
"120","ARICB","TX",1979,62155.19263
"121","ARICB","TX",1980,72373.22122
"122","ARICB","TX",1981,52579.25537
"123","ARICB","TX",1982,52122.99593
"124","ARICB","TX",1983,77779.97323
"125","ARICB","TX",1984,71200.39821
"126","ARICB","TX",1985,78354.83073
"127","ARICB","TX",1986,90548.45856
"128","ARICB","TX",1987,83620.0417
"129","ARICB","TX",1988,95781.00946
"130","ARICB","TX",1989,64248.84433
"131","ARICB","TX",1990,92991.42253
"132","ARICB","TX",1991,62183.02441
"133","ARICB","TX",1992,78306.85099
"134","ARICB","TX",1993,84504.27655
"135","ARICB","TX",1994,72642.51402
"136","ARICB","TX",1995,78262.51879
"137","ARICB","TX",1996,79380.44789
"138","ARICB","TX",1997,69738.8638
"139","ARICB","TX",1998,74329.5184
"140","ARICB","TX",1999,55993.47094
"141","ARICB","TX",2000,52804.26209
"142","ARICB","TX",2001,77777.15837
"143","ARICB","TX",2002,87617.128
"144","ARICB","TX",2003,92343.77999
"145","ARICB","TX",2004,86174.82611
"146","ARICB","TX",2005,114067.5041
"147","ARICB","TX",2006,104457.8073
"148","ARICB","TX",2007,100464.9134
"149","ARICB","TX",2008,71106.86146
"150","ARICB","TX",2009,61348.0105
"151","ARICD","TX",1970,0.73506
"152","ARICD","TX",1971,0.76214
"153","ARICD","TX",1972,0.77514
"154","ARICD","TX",1973,0.77361
"155","ARICD","TX",1974,1.56381
"156","ARICD","TX",1975,1.76904
"157","ARICD","TX",1976,1.851
"158","ARICD","TX",1977,1.99779
"159","ARICD","TX",1978,2.22205
"160","ARICD","TX",1979,2.51259
"161","ARICD","TX",1980,3.79301
"162","ARICD","TX",1981,5.18203
"163","ARICD","TX",1982,4.41592
"164","ARICD","TX",1983,4.23738
"165","ARICD","TX",1984,4.18522
"166","ARICD","TX",1985,4.20109
"167","ARICD","TX",1986,4.57673
"168","ARICD","TX",1987,3.3466
"169","ARICD","TX",1988,3.21436
"170","ARICD","TX",1989,2.84357
"171","ARICD","TX",1990,2.93561
"172","ARICD","TX",1991,3.32637
"173","ARICD","TX",1992,2.32804
"174","ARICD","TX",1993,3.13528
"175","ARICD","TX",1994,2.94232
"176","ARICD","TX",1995,3.17794
"177","ARICD","TX",1996,3.32245
"178","ARICD","TX",1997,3.48593
"179","ARICD","TX",1998,3.5352
"180","ARICD","TX",1999,3.73052
"181","ARICD","TX",2000,3.80139
"182","ARICD","TX",2001,3.79284
"183","ARICD","TX",2002,3.82663
"184","ARICD","TX",2003,4.21981
"185","ARICD","TX",2004,4.73928
"186","ARICD","TX",2005,5.29769
"187","ARICD","TX",2006,5.73411
"188","ARICD","TX",2007,6.15972
"189","ARICD","TX",2008,6.37485
"190","ARICD","TX",2009,6.71933
"191","ARICP","TX",1960,6283.92858
"192","ARICP","TX",1961,7279.18281
"193","ARICP","TX",1962,7538.97379
"194","ARICP","TX",1963,7146.87457
"195","ARICP","TX",1964,7361.44118
"196","ARICP","TX",1965,7811.22785
"197","ARICP","TX",1966,8455.84464
"198","ARICP","TX",1967,8974.20524
"199","ARICP","TX",1968,9276.10896
"200","ARICP","TX",1969,9967.55124
"201","ARICP","TX",1970,11884.843
"202","ARICP","TX",1971,11479.03701
"203","ARICP","TX",1972,11379.3257
"204","ARICP","TX",1973,11750.75943
"205","ARICP","TX",1974,12212.43444
"206","ARICP","TX",1975,8149.54523
"207","ARICP","TX",1976,6749.11425
"208","ARICP","TX",1977,5439.90523
"209","ARICP","TX",1978,7144.90261
"210","ARICP","TX",1979,9366.36417
"211","ARICP","TX",1980,10906.15148
"212","ARICP","TX",1981,7923.33565
"213","ARICP","TX",1982,7854.58046
"214","ARICP","TX",1983,11720.91218
"215","ARICP","TX",1984,10729.41504
"216","ARICP","TX",1985,11807.53929
"217","ARICP","TX",1986,13645.03595
"218","ARICP","TX",1987,12600.97072
"219","ARICP","TX",1988,14433.54573
"220","ARICP","TX",1989,9681.86322
"221","ARICP","TX",1990,14013.17398
"222","ARICP","TX",1991,9370.55823
"223","ARICP","TX",1992,11800.30907
"224","ARICP","TX",1993,12734.21889
"225","ARICP","TX",1994,10946.73207
"226","ARICP","TX",1995,11793.62851
"227","ARICP","TX",1996,11962.09281
"228","ARICP","TX",1997,10509.17176
"229","ARICP","TX",1998,11200.95214
"230","ARICP","TX",1999,8437.83468
"231","ARICP","TX",2000,7957.24263
"232","ARICP","TX",2001,11720.488
"233","ARICP","TX",2002,13203.3044
"234","ARICP","TX",2003,13915.57866
"235","ARICP","TX",2004,12985.95933
"236","ARICP","TX",2005,17189.19592
"237","ARICP","TX",2006,15741.08007
"238","ARICP","TX",2007,15139.37815
"239","ARICP","TX",2008,10715.31969
"240","ARICP","TX",2009,9244.72732
"241","ARICV","TX",1970,57.97258
"242","ARICV","TX",1971,58.05593
"243","ARICV","TX",1972,58.53331
"244","ARICV","TX",1973,60.32459
"245","ARICV","TX",1974,126.73384
"246","ARICV","TX",1975,95.67036
"247","ARICV","TX",1976,82.90096
"248","ARICV","TX",1977,72.11864
"249","ARICV","TX",1978,105.35533
"250","ARICV","TX",1979,156.17052
"251","ARICV","TX",1980,274.51235
"252","ARICV","TX",1981,272.46728
"253","ARICV","TX",1982,230.17098
"254","ARICV","TX",1983,329.5833
"255","ARICV","TX",1984,297.98933
"256","ARICV","TX",1985,329.1757
"257","ARICV","TX",1986,414.41585
"258","ARICV","TX",1987,279.84283
"259","ARICV","TX",1988,307.87465
"260","ARICV","TX",1989,182.69609
"261","ARICV","TX",1990,272.98655
"262","ARICV","TX",1991,206.84375
"263","ARICV","TX",1992,182.30148
"264","ARICV","TX",1993,264.94457
"265","ARICV","TX",1994,213.73752
"266","ARICV","TX",1995,248.71359
"267","ARICV","TX",1996,263.73757
"268","ARICV","TX",1997,243.1048
"269","ARICV","TX",1998,262.76971
"270","ARICV","TX",1999,208.88476
"271","ARICV","TX",2000,200.72959
"272","ARICV","TX",2001,294.99632
"273","ARICV","TX",2002,335.27833
"274","ARICV","TX",2003,389.67321
"275","ARICV","TX",2004,408.40663
"276","ARICV","TX",2005,604.29428
"277","ARICV","TX",2006,598.97256
"278","ARICV","TX",2007,618.83574
"279","ARICV","TX",2008,453.29558
"280","ARICV","TX",2009,412.21753
"281","ARTCB","TX",1960,41700.15006
"282","ARTCB","TX",1961,48304.65713
"283","ARTCB","TX",1962,50028.63007
"284","ARTCB","TX",1963,47426.65965
"285","ARTCB","TX",1964,48850.52367
"286","ARTCB","TX",1965,51835.30801
"287","ARTCB","TX",1966,56112.98503
"288","ARTCB","TX",1967,59552.82597
"289","ARTCB","TX",1968,61556.25906
"290","ARTCB","TX",1969,66144.67003
"291","ARTCB","TX",1970,78867.81815
"292","ARTCB","TX",1971,76174.8896
"293","ARTCB","TX",1972,75513.20535
"294","ARTCB","TX",1973,77978.03958
"295","ARTCB","TX",1974,81041.71494
"296","ARTCB","TX",1975,54080.38215
"297","ARTCB","TX",1976,44787.12216
"298","ARTCB","TX",1977,36099.21111
"299","ARTCB","TX",1978,47413.57372
"300","ARTCB","TX",1979,62155.19263
"301","ARTCB","TX",1980,72373.22122
"302","ARTCB","TX",1981,52579.25537
"303","ARTCB","TX",1982,52122.99593
"304","ARTCB","TX",1983,77779.97323
"305","ARTCB","TX",1984,71200.39821
"306","ARTCB","TX",1985,78354.83073
"307","ARTCB","TX",1986,90548.45856
"308","ARTCB","TX",1987,83620.0417
"309","ARTCB","TX",1988,95781.00946
"310","ARTCB","TX",1989,64248.84433
"311","ARTCB","TX",1990,92991.42253
"312","ARTCB","TX",1991,62183.02441
"313","ARTCB","TX",1992,78306.85099
"314","ARTCB","TX",1993,84504.27655
"315","ARTCB","TX",1994,72642.51402
"316","ARTCB","TX",1995,78262.51879
"317","ARTCB","TX",1996,79380.44789
"318","ARTCB","TX",1997,69738.8638
"319","ARTCB","TX",1998,74329.5184
"320","ARTCB","TX",1999,55993.47094
"321","ARTCB","TX",2000,52804.26209
"322","ARTCB","TX",2001,77777.15837
"323","ARTCB","TX",2002,87617.128
"324","ARTCB","TX",2003,92343.77999
"325","ARTCB","TX",2004,86174.82611
"326","ARTCB","TX",2005,114067.5041
"327","ARTCB","TX",2006,104457.8073
"328","ARTCB","TX",2007,100464.9134
"329","ARTCB","TX",2008,71106.86146
"330","ARTCB","TX",2009,61348.0105
"331","ARTCD","TX",1970,0.73506
"332","ARTCD","TX",1971,0.76214
"333","ARTCD","TX",1972,0.77514
"334","ARTCD","TX",1973,0.77361
"335","ARTCD","TX",1974,1.56381
"336","ARTCD","TX",1975,1.76904
"337","ARTCD","TX",1976,1.851
"338","ARTCD","TX",1977,1.99779
"339","ARTCD","TX",1978,2.22205
"340","ARTCD","TX",1979,2.51259
"341","ARTCD","TX",1980,3.79301
"342","ARTCD","TX",1981,5.18203
"343","ARTCD","TX",1982,4.41592
"344","ARTCD","TX",1983,4.23738
"345","ARTCD","TX",1984,4.18522
"346","ARTCD","TX",1985,4.20109
"347","ARTCD","TX",1986,4.57673
"348","ARTCD","TX",1987,3.3466
"349","ARTCD","TX",1988,3.21436
"350","ARTCD","TX",1989,2.84357
"351","ARTCD","TX",1990,2.93561
"352","ARTCD","TX",1991,3.32637
"353","ARTCD","TX",1992,2.32804
"354","ARTCD","TX",1993,3.13528
"355","ARTCD","TX",1994,2.94232
"356","ARTCD","TX",1995,3.17794
"357","ARTCD","TX",1996,3.32245
"358","ARTCD","TX",1997,3.48593
"359","ARTCD","TX",1998,3.5352
"360","ARTCD","TX",1999,3.73052
"361","ARTCD","TX",2000,3.80139
"362","ARTCD","TX",2001,3.79284
"363","ARTCD","TX",2002,3.82663
"364","ARTCD","TX",2003,4.21981
"365","ARTCD","TX",2004,4.73928
"366","ARTCD","TX",2005,5.29769
"367","ARTCD","TX",2006,5.73411
"368","ARTCD","TX",2007,6.15972
"369","ARTCD","TX",2008,6.37485
"370","ARTCD","TX",2009,6.71933
"371","ARTCP","TX",1960,6283.92858
"372","ARTCP","TX",1961,7279.18281
"373","ARTCP","TX",1962,7538.97379
"374","ARTCP","TX",1963,7146.87457
"375","ARTCP","TX",1964,7361.44118
"376","ARTCP","TX",1965,7811.22785
"377","ARTCP","TX",1966,8455.84464
"378","ARTCP","TX",1967,8974.20524
"379","ARTCP","TX",1968,9276.10896
"380","ARTCP","TX",1969,9967.55124
"381","ARTCP","TX",1970,11884.843
"382","ARTCP","TX",1971,11479.03701
