"MSN","StateCode","Year","Data","Description","Renewable"
"ABICB","AZ",1960,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1961,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1962,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1963,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1964,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1965,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1966,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1967,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1968,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1969,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1970,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1971,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1972,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1973,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1974,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1975,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1976,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1977,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1978,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1979,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1980,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1981,1.2888,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1982,1.97998,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1983,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1984,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1985,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1986,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1987,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1988,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1989,0.06754,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1990,0.15861,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1991,-0.05396,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1992,0.10591,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1993,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1994,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1995,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1996,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1997,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1998,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",1999,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2000,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2001,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2002,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2003,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2004,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2005,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2006,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2007,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2008,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","AZ",2009,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1960,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1961,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1962,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1963,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1964,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1965,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1966,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1967,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1968,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1969,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1970,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1971,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1972,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1973,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1974,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1975,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1976,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1977,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1978,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1979,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1980,0,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1981,716.80045,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1982,765.58594,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1983,108.28187,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1984,12.43327,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1985,585.59511,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1986,80.96497,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1987,6.8357,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
"ABICB","CA",1988,-157.27751,"Aviation gasoline blending components consumed by the industrial sector.","FALSE"
