"","MSN","StateCode","Year","Data"
"1","ABICB","AZ",1960,0
"2","ABICB","AZ",1961,0
"3","ABICB","AZ",1962,0
"4","ABICB","AZ",1963,0
"5","ABICB","AZ",1964,0
"6","ABICB","AZ",1965,0
"7","ABICB","AZ",1966,0
"8","ABICB","AZ",1967,0
"9","ABICB","AZ",1968,0
"10","ABICB","AZ",1969,0
"11","ABICB","AZ",1970,0
"12","ABICB","AZ",1971,0
"13","ABICB","AZ",1972,0
"14","ABICB","AZ",1973,0
"15","ABICB","AZ",1974,0
"16","ABICB","AZ",1975,0
"17","ABICB","AZ",1976,0
"18","ABICB","AZ",1977,0
"19","ABICB","AZ",1978,0
"20","ABICB","AZ",1979,0
"21","ABICB","AZ",1980,0
"22","ABICB","AZ",1981,1.2888
"23","ABICB","AZ",1982,1.97998
"24","ABICB","AZ",1983,0
"25","ABICB","AZ",1984,0
"26","ABICB","AZ",1985,0
"27","ABICB","AZ",1986,0
"28","ABICB","AZ",1987,0
"29","ABICB","AZ",1988,0
"30","ABICB","AZ",1989,0.06754
"31","ABICB","AZ",1990,0.15861
"32","ABICB","AZ",1991,-0.05396
"33","ABICB","AZ",1992,0.10591
"34","ABICB","AZ",1993,0
"35","ABICB","AZ",1994,0
"36","ABICB","AZ",1995,0
"37","ABICB","AZ",1996,0
"38","ABICB","AZ",1997,0
"39","ABICB","AZ",1998,0
"40","ABICB","AZ",1999,0
"41","ABICB","AZ",2000,0
"42","ABICB","AZ",2001,0
"43","ABICB","AZ",2002,0
"44","ABICB","AZ",2003,0
"45","ABICB","AZ",2004,0
"46","ABICB","AZ",2005,0
"47","ABICB","AZ",2006,0
"48","ABICB","AZ",2007,0
"49","ABICB","AZ",2008,0
"50","ABICB","AZ",2009,0
"51","ABICP","AZ",1960,0
"52","ABICP","AZ",1961,0
"53","ABICP","AZ",1962,0
"54","ABICP","AZ",1963,0
"55","ABICP","AZ",1964,0
"56","ABICP","AZ",1965,0
"57","ABICP","AZ",1966,0
"58","ABICP","AZ",1967,0
"59","ABICP","AZ",1968,0
"60","ABICP","AZ",1969,0
"61","ABICP","AZ",1970,0
"62","ABICP","AZ",1971,0
"63","ABICP","AZ",1972,0
"64","ABICP","AZ",1973,0
"65","ABICP","AZ",1974,0
"66","ABICP","AZ",1975,0
"67","ABICP","AZ",1976,0
"68","ABICP","AZ",1977,0
"69","ABICP","AZ",1978,0
"70","ABICP","AZ",1979,0
"71","ABICP","AZ",1980,0
"72","ABICP","AZ",1981,0.25531
"73","ABICP","AZ",1982,0.39223
"74","ABICP","AZ",1983,0
"75","ABICP","AZ",1984,0
"76","ABICP","AZ",1985,0
"77","ABICP","AZ",1986,0
"78","ABICP","AZ",1987,0
"79","ABICP","AZ",1988,0
"80","ABICP","AZ",1989,0.01338
"81","ABICP","AZ",1990,0.03142
"82","ABICP","AZ",1991,-0.01069
"83","ABICP","AZ",1992,0.02098
"84","ABICP","AZ",1993,0
"85","ABICP","AZ",1994,0
"86","ABICP","AZ",1995,0
"87","ABICP","AZ",1996,0
"88","ABICP","AZ",1997,0
"89","ABICP","AZ",1998,0
"90","ABICP","AZ",1999,0
"91","ABICP","AZ",2000,0
"92","ABICP","AZ",2001,0
"93","ABICP","AZ",2002,0
"94","ABICP","AZ",2003,0
"95","ABICP","AZ",2004,0
"96","ABICP","AZ",2005,0
"97","ABICP","AZ",2006,0
"98","ABICP","AZ",2007,0
"99","ABICP","AZ",2008,0
"100","ABICP","AZ",2009,0
"101","ARICB","AZ",1960,5726.26021
"102","ARICB","AZ",1961,6274.82747
"103","ARICB","AZ",1962,5741.4451
"104","ARICB","AZ",1963,8193.88866
"105","ARICB","AZ",1964,7749.17493
"106","ARICB","AZ",1965,7369.23613
"107","ARICB","AZ",1966,12551.17339
"108","ARICB","AZ",1967,13390.92356
"109","ARICB","AZ",1968,15229.11009
"110","ARICB","AZ",1969,18102.82252
"111","ARICB","AZ",1970,24413.71573
"112","ARICB","AZ",1971,19444.06291
"113","ARICB","AZ",1972,23661.18928
"114","ARICB","AZ",1973,22666.35367
"115","ARICB","AZ",1974,26101.18145
"116","ARICB","AZ",1975,15467.14354
"117","ARICB","AZ",1976,13486.38673
"118","ARICB","AZ",1977,14402.04909
"119","ARICB","AZ",1978,17829.46339
"120","ARICB","AZ",1979,19633.41526
"121","ARICB","AZ",1980,13677.1789
"122","ARICB","AZ",1981,10862.66058
"123","ARICB","AZ",1982,10098.8161
"124","ARICB","AZ",1983,10928.741
"125","ARICB","AZ",1984,16488.61101
"126","ARICB","AZ",1985,17009.40237
"127","ARICB","AZ",1986,16790.93144
"128","ARICB","AZ",1987,16535.24995
"129","ARICB","AZ",1988,17806.40229
"130","ARICB","AZ",1989,15832.11233
"131","ARICB","AZ",1990,15704.63981
"132","ARICB","AZ",1991,14472.4881
"133","ARICB","AZ",1992,19801.47369
"134","ARICB","AZ",1993,15446.88237
"135","ARICB","AZ",1994,17082.92414
"136","ARICB","AZ",1995,20822.50723
"137","ARICB","AZ",1996,16323.78299
"138","ARICB","AZ",1997,17944.75579
"139","ARICB","AZ",1998,26355.45472
"140","ARICB","AZ",1999,25311.89647
"141","ARICB","AZ",2000,22751.66257
"142","ARICB","AZ",2001,17038.8181
"143","ARICB","AZ",2002,23430.92844
"144","ARICB","AZ",2003,23016.83069
"145","ARICB","AZ",2004,31933.97036
"146","ARICB","AZ",2005,30780.24887
"147","ARICB","AZ",2006,27372.74708
"148","ARICB","AZ",2007,27034.39303
"149","ARICB","AZ",2008,23059.23241
"150","ARICB","AZ",2009,19894.53622
"151","ARICD","AZ",1970,0.59662
"152","ARICD","AZ",1971,0.81486
"153","ARICD","AZ",1972,0.82462
"154","ARICD","AZ",1973,0.84507
"155","ARICD","AZ",1974,1.71581
"156","ARICD","AZ",1975,1.86535
"157","ARICD","AZ",1976,1.65018
"158","ARICD","AZ",1977,1.76956
"159","ARICD","AZ",1978,1.92279
"160","ARICD","AZ",1979,2.45082
"161","ARICD","AZ",1980,3.62562
"162","ARICD","AZ",1981,4.48111
"163","ARICD","AZ",1982,4.18838
"164","ARICD","AZ",1983,4.16241
"165","ARICD","AZ",1984,4.58397
"166","ARICD","AZ",1985,4.76372
"167","ARICD","AZ",1986,4.32846
"168","ARICD","AZ",1987,3.20926
"169","ARICD","AZ",1988,3.28012
"170","ARICD","AZ",1989,2.84465
"171","ARICD","AZ",1990,2.7141
"172","ARICD","AZ",1991,3.33608
"173","ARICD","AZ",1992,2.98708
"174","ARICD","AZ",1993,2.94784
"175","ARICD","AZ",1994,2.96408
"176","ARICD","AZ",1995,3.2895
"177","ARICD","AZ",1996,3.54877
"178","ARICD","AZ",1997,3.57196
"179","ARICD","AZ",1998,3.56648
"180","ARICD","AZ",1999,3.19221
"181","ARICD","AZ",2000,3.16836
"182","ARICD","AZ",2001,3.45903
"183","ARICD","AZ",2002,3.65001
"184","ARICD","AZ",2003,4.01122
"185","ARICD","AZ",2004,4.55888
"186","ARICD","AZ",2005,4.81354
"187","ARICD","AZ",2006,5.18756
"188","ARICD","AZ",2007,5.48363
"189","ARICD","AZ",2008,5.64993
"190","ARICD","AZ",2009,5.86757
"191","ARICP","AZ",1960,862.90841
"192","ARICP","AZ",1961,945.57376
"193","ARICP","AZ",1962,865.19667
"194","ARICP","AZ",1963,1234.76321
"195","ARICP","AZ",1964,1167.74788
"196","ARICP","AZ",1965,1110.49369
"197","ARICP","AZ",1966,1891.37634
"198","ARICP","AZ",1967,2017.92097
"199","ARICP","AZ",1968,2294.92316
"200","ARICP","AZ",1969,2727.97205
"201","ARICP","AZ",1970,3678.98067
"202","ARICP","AZ",1971,2930.08784
"203","ARICP","AZ",1972,3565.58006
"204","ARICP","AZ",1973,3415.66511
"205","ARICP","AZ",1974,3933.27026
"206","ARICP","AZ",1975,2330.79318
"207","ARICP","AZ",1976,2032.30662
"208","ARICP","AZ",1977,2170.2907
"209","ARICP","AZ",1978,2686.77869
"210","ARICP","AZ",1979,2958.62195
"211","ARICP","AZ",1980,2061.0577
"212","ARICP","AZ",1981,1636.92896
"213","ARICP","AZ",1982,1521.8228
"214","ARICP","AZ",1983,1646.88683
"215","ARICP","AZ",1984,2484.72137
"216","ARICP","AZ",1985,2563.20108
"217","ARICP","AZ",1986,2530.279
"218","ARICP","AZ",1987,2491.74954
"219","ARICP","AZ",1988,2683.30354
"220","ARICP","AZ",1989,2385.79149
"221","ARICP","AZ",1990,2366.58225
"222","ARICP","AZ",1991,2180.90538
"223","ARICP","AZ",1992,2983.94721
"224","ARICP","AZ",1993,2327.73996
"225","ARICP","AZ",1994,2574.28031
"226","ARICP","AZ",1995,3137.81001
"227","ARICP","AZ",1996,2459.88291
"228","ARICP","AZ",1997,2704.15247
"229","ARICP","AZ",1998,3971.58751
"230","ARICP","AZ",1999,3814.33039
"231","ARICP","AZ",2000,3428.52058
"232","ARICP","AZ",2001,2567.63383
"233","ARICP","AZ",2002,3530.88132
"234","ARICP","AZ",2003,3468.47961
"235","ARICP","AZ",2004,4812.23182
"236","ARICP","AZ",2005,4638.37385
"237","ARICP","AZ",2006,4124.88654
"238","ARICP","AZ",2007,4073.89889
"239","ARICP","AZ",2008,3474.86926
"240","ARICP","AZ",2009,2997.9711
"241","ARICV","AZ",1970,14.56571
"242","ARICV","AZ",1971,15.84419
"243","ARICV","AZ",1972,19.51149
"244","ARICV","AZ",1973,19.15466
"245","ARICV","AZ",1974,44.78467
"246","ARICV","AZ",1975,28.85164
"247","ARICV","AZ",1976,22.25497
"248","ARICV","AZ",1977,25.48529
"249","ARICV","AZ",1978,34.28231
"250","ARICV","AZ",1979,48.11797
"251","ARICV","AZ",1980,49.58825
"252","ARICV","AZ",1981,48.67678
"253","ARICV","AZ",1982,42.29768
"254","ARICV","AZ",1983,45.4899
"255","ARICV","AZ",1984,75.5833
"256","ARICV","AZ",1985,81.02803
"257","ARICV","AZ",1986,72.67888
"258","ARICV","AZ",1987,53.06592
"259","ARICV","AZ",1988,58.40714
"260","ARICV","AZ",1989,45.03682
"261","ARICV","AZ",1990,42.62396
"262","ARICV","AZ",1991,48.28138
"263","ARICV","AZ",1992,59.14859
"264","ARICV","AZ",1993,45.53494
"265","ARICV","AZ",1994,50.63515
"266","ARICV","AZ",1995,68.49564
"267","ARICV","AZ",1996,57.92935
"268","ARICV","AZ",1997,64.09795
"269","ARICV","AZ",1998,93.9962
"270","ARICV","AZ",1999,80.80089
"271","ARICV","AZ",2000,72.08546
"272","ARICV","AZ",2001,58.93778
"273","ARICV","AZ",2002,85.52312
"274","ARICV","AZ",2003,92.32557
"275","ARICV","AZ",2004,145.58314
"276","ARICV","AZ",2005,148.16196
"277","ARICV","AZ",2006,141.99777
"278","ARICV","AZ",2007,148.24661
"279","ARICV","AZ",2008,130.28305
"280","ARICV","AZ",2009,116.73258
"281","ARTCB","AZ",1960,5726.26021
"282","ARTCB","AZ",1961,6274.82747
"283","ARTCB","AZ",1962,5741.4451
"284","ARTCB","AZ",1963,8193.88866
"285","ARTCB","AZ",1964,7749.17493
"286","ARTCB","AZ",1965,7369.23613
"287","ARTCB","AZ",1966,12551.17339
"288","ARTCB","AZ",1967,13390.92356
"289","ARTCB","AZ",1968,15229.11009
"290","ARTCB","AZ",1969,18102.82252
"291","ARTCB","AZ",1970,24413.71573
"292","ARTCB","AZ",1971,19444.06291
"293","ARTCB","AZ",1972,23661.18928
"294","ARTCB","AZ",1973,22666.35367
"295","ARTCB","AZ",1974,26101.18145
"296","ARTCB","AZ",1975,15467.14354
"297","ARTCB","AZ",1976,13486.38673
"298","ARTCB","AZ",1977,14402.04909
"299","ARTCB","AZ",1978,17829.46339
"300","ARTCB","AZ",1979,19633.41526
"301","ARTCB","AZ",1980,13677.1789
"302","ARTCB","AZ",1981,10862.66058
"303","ARTCB","AZ",1982,10098.8161
"304","ARTCB","AZ",1983,10928.741
"305","ARTCB","AZ",1984,16488.61101
"306","ARTCB","AZ",1985,17009.40237
"307","ARTCB","AZ",1986,16790.93144
"308","ARTCB","AZ",1987,16535.24995
"309","ARTCB","AZ",1988,17806.40229
"310","ARTCB","AZ",1989,15832.11233
"311","ARTCB","AZ",1990,15704.63981
"312","ARTCB","AZ",1991,14472.4881
"313","ARTCB","AZ",1992,19801.47369
"314","ARTCB","AZ",1993,15446.88237
"315","ARTCB","AZ",1994,17082.92414
"316","ARTCB","AZ",1995,20822.50723
"317","ARTCB","AZ",1996,16323.78299
"318","ARTCB","AZ",1997,17944.75579
"319","ARTCB","AZ",1998,26355.45472
"320","ARTCB","AZ",1999,25311.89647
"321","ARTCB","AZ",2000,22751.66257
"322","ARTCB","AZ",2001,17038.8181
"323","ARTCB","AZ",2002,23430.92844
"324","ARTCB","AZ",2003,23016.83069
"325","ARTCB","AZ",2004,31933.97036
"326","ARTCB","AZ",2005,30780.24887
"327","ARTCB","AZ",2006,27372.74708
"328","ARTCB","AZ",2007,27034.39303
"329","ARTCB","AZ",2008,23059.23241
"330","ARTCB","AZ",2009,19894.53622
"331","ARTCD","AZ",1970,0.59662
"332","ARTCD","AZ",1971,0.81486
"333","ARTCD","AZ",1972,0.82462
"334","ARTCD","AZ",1973,0.84507
"335","ARTCD","AZ",1974,1.71581
"336","ARTCD","AZ",1975,1.86535
"337","ARTCD","AZ",1976,1.65018
"338","ARTCD","AZ",1977,1.76956
"339","ARTCD","AZ",1978,1.92279
"340","ARTCD","AZ",1979,2.45082
"341","ARTCD","AZ",1980,3.62562
"342","ARTCD","AZ",1981,4.48111
"343","ARTCD","AZ",1982,4.18838
"344","ARTCD","AZ",1983,4.16241
"345","ARTCD","AZ",1984,4.58397
"346","ARTCD","AZ",1985,4.76372
"347","ARTCD","AZ",1986,4.32846
"348","ARTCD","AZ",1987,3.20926
"349","ARTCD","AZ",1988,3.28012
"350","ARTCD","AZ",1989,2.84465
"351","ARTCD","AZ",1990,2.7141
"352","ARTCD","AZ",1991,3.33608
"353","ARTCD","AZ",1992,2.98708
"354","ARTCD","AZ",1993,2.94784
"355","ARTCD","AZ",1994,2.96408
"356","ARTCD","AZ",1995,3.2895
"357","ARTCD","AZ",1996,3.54877
"358","ARTCD","AZ",1997,3.57196
"359","ARTCD","AZ",1998,3.56648
"360","ARTCD","AZ",1999,3.19221
"361","ARTCD","AZ",2000,3.16836
"362","ARTCD","AZ",2001,3.45903
"363","ARTCD","AZ",2002,3.65001
"364","ARTCD","AZ",2003,4.01122
"365","ARTCD","AZ",2004,4.55888
"366","ARTCD","AZ",2005,4.81354
