type,data,msncode,row
Coal,1329.93621,CLTXP,3291
Natural Gas,1519579,NGTXP,16184
Motor Gasoline excluding Ethanol,1784822.743,MMTCB,14104
Distillate Fuel Oil,90298.81611,DFTXP,4761
Jet Fuel,555575.4421,JFTXB,9444
LPG,60934.41047,LGTXB,11904
Residual Fuel,242656.4122,RFTXB,22214
Nuclear Electric Power,332249.3898,NUETB,16854
Hydroelectric Power,272187.2346,HYTCB,8844
Biomass,224662.5224,BMTCB,1231
Solar,25078.48332,SOTXB,23074
Wind,53063.34549,WYTCB,26436
Net Interstate Flow of Electricity,999871.5237,ELISB,5391
