"MSN","StateCode","Year","Data","Description"
"ARTXB","AZ",1960,5726.26021,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1961,6274.82747,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1962,5741.4451,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1963,8193.88866,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1964,7749.17493,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1965,7369.23613,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1966,12551.17339,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1967,13390.92356,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1968,15229.11009,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1969,18102.82252,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1970,24413.71573,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1971,19444.06291,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1972,23661.18928,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1973,22666.35367,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1974,26101.18145,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1975,15467.14354,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1976,13486.38673,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1977,14402.04909,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1978,17829.46339,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1979,19633.41526,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1980,13677.1789,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1981,10862.66058,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1982,10098.8161,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1983,10928.741,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1984,16488.61101,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1985,17009.40237,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1986,16790.93144,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1987,16535.24995,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1988,17806.40229,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1989,15832.11233,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1990,15704.63981,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1991,14472.4881,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1992,19801.47369,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1993,15446.88237,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1994,17082.92414,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1995,20822.50723,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1996,16323.78299,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1997,17944.75579,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1998,26355.45472,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",1999,25311.89647,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2000,22751.66257,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2001,17038.8181,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2002,23430.92844,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2003,23016.83069,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2004,31933.97036,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2005,30780.24887,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2006,27372.74708,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2007,27034.39303,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2008,23059.23241,"Asphalt and road oil total end-use consumption."
"ARTXB","AZ",2009,19894.53622,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1960,70774.23143,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1961,76144.71352,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1962,78080.1994,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1963,80479.18521,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1964,83422.03673,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1965,78915.22805,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1966,80100.43033,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1967,73535.15058,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1968,78732.00371,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1969,86848.51496,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1970,80189.82455,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1971,80854.88162,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1972,81142.71002,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1973,87351.64108,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1974,79024.01439,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1975,87238.73266,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1976,93449.23997,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1977,99518.97052,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1978,101859.8548,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1979,142557.645,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1980,122308.7164,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1981,65241.51341,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1982,65153.73579,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1983,73769.4404,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1984,101279.4951,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1985,91894.48861,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1986,102016.5525,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1987,109215.7437,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1988,101814.9885,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1989,99513.65754,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1990,98621.05793,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1991,94569.61171,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1992,89971.09246,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1993,82504.34456,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1994,81207.5955,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1995,81036.2289,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1996,82279.99878,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1997,76390.54321,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1998,103333.9789,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",1999,135149.8839,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2000,135103.8937,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2001,125554.839,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2002,118493.1644,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2003,90543.81675,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2004,91629.57949,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2005,87109.93925,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2006,80492.43371,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2007,99922.13094,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2008,82940.51795,"Asphalt and road oil total end-use consumption."
"ARTXB","CA",2009,71557.59172,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1960,6396.79018,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1961,6716.24172,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1962,6688.73609,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1963,6815.97456,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1964,7773.469,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1965,9209.90446,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1966,8144.31363,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1967,7575.74812,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1968,9667.48831,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1969,6418.0506,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1970,8017.62681,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1971,5393.73954,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1972,6401.57056,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1973,6604.93741,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1974,9058.57519,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1975,10830.37219,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1976,9699.06492,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1977,7953.0578,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1978,9501.10322,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1979,9429.7189,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1980,7552.98949,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1981,7721.65909,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1982,9610.17431,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1983,11773.68238,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1984,12612.77405,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1985,9960.82466,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1986,10724.60776,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1987,13728.31817,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1988,14019.47771,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1989,11052.32403,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1990,9625.90939,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1991,10117.33691,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1992,12433.53443,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1993,16179.46817,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1994,14030.73602,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1995,12336.54359,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1996,10936.11685,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1997,8179.98511,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1998,13592.78849,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",1999,12624.61188,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2000,11778.1003,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2001,5250.17366,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2002,13234.20174,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2003,13125.77017,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2004,13206.4841,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2005,11943.20769,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2006,12825.79815,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2007,15601.94413,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2008,11727.13548,"Asphalt and road oil total end-use consumption."
"ARTXB","NM",2009,10117.67946,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1960,41700.15006,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1961,48304.65713,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1962,50028.63007,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1963,47426.65965,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1964,48850.52367,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1965,51835.30801,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1966,56112.98503,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1967,59552.82597,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1968,61556.25906,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1969,66144.67003,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1970,78867.81815,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1971,76174.8896,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1972,75513.20535,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1973,77978.03958,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1974,81041.71494,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1975,54080.38215,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1976,44787.12216,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1977,36099.21111,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1978,47413.57372,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1979,62155.19263,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1980,72373.22122,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1981,52579.25537,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1982,52122.99593,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1983,77779.97323,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1984,71200.39821,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1985,78354.83073,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1986,90548.45856,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1987,83620.0417,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1988,95781.00946,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1989,64248.84433,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1990,92991.42253,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1991,62183.02441,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1992,78306.85099,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1993,84504.27655,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1994,72642.51402,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1995,78262.51879,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1996,79380.44789,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1997,69738.8638,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1998,74329.5184,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",1999,55993.47094,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2000,52804.26209,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2001,77777.15837,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2002,87617.128,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2003,92343.77999,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2004,86174.82611,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2005,114067.5041,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2006,104457.8073,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2007,100464.9134,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2008,71106.86146,"Asphalt and road oil total end-use consumption."
"ARTXB","TX",2009,61348.0105,"Asphalt and road oil total end-use consumption."
"AVTXB","AZ",1960,3531.04046,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1961,2323.87083,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1962,3776.94172,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1963,3399.17777,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1964,3005.9157,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1965,2411.14403,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1966,2634.70602,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1967,2721.23071,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1968,2402.64421,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1969,2168.1322,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1970,2157.63166,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1971,2113.40406,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1972,2070.50333,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1973,1813.71298,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1974,2046.76309,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1975,1806.92085,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1976,1700.67009,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1977,1890.50371,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1978,1724.15869,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1979,1864.05512,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1980,1416.42221,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1981,1136.46502,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1982,791.3684,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1983,788.21239,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1984,958.44599,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1985,928.6003,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1986,1139.21406,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1987,1046.85202,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1988,937.93536,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1989,1060.83634,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1990,979.10236,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1991,950.18822,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1992,797.6051,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1993,646.00038,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1994,716.82216,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1995,702.70507,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1996,780.22736,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1997,761.41139,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1998,964.59875,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",1999,792.43504,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",2000,1028.41314,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",2001,966.39487,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",2002,925.29401,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",2003,1177.42409,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",2004,826.83933,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",2005,946.61716,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",2006,892.73375,"Aviation gasoline total end-use consumption."
"AVTXB","AZ",2007,731.98055,"Aviation gasoline total end-use consumption."
