"MSN","StateCode","Year","Data","Description"
"ARTCB","AZ",1960,5726.26021,"Asphalt and road oil total consumption."
"ARTCB","AZ",1961,6274.82747,"Asphalt and road oil total consumption."
"ARTCB","AZ",1962,5741.4451,"Asphalt and road oil total consumption."
"ARTCB","AZ",1963,8193.88866,"Asphalt and road oil total consumption."
"ARTCB","AZ",1964,7749.17493,"Asphalt and road oil total consumption."
"ARTCB","AZ",1965,7369.23613,"Asphalt and road oil total consumption."
"ARTCB","AZ",1966,12551.17339,"Asphalt and road oil total consumption."
"ARTCB","AZ",1967,13390.92356,"Asphalt and road oil total consumption."
"ARTCB","AZ",1968,15229.11009,"Asphalt and road oil total consumption."
"ARTCB","AZ",1969,18102.82252,"Asphalt and road oil total consumption."
"ARTCB","AZ",1970,24413.71573,"Asphalt and road oil total consumption."
"ARTCB","AZ",1971,19444.06291,"Asphalt and road oil total consumption."
"ARTCB","AZ",1972,23661.18928,"Asphalt and road oil total consumption."
"ARTCB","AZ",1973,22666.35367,"Asphalt and road oil total consumption."
"ARTCB","AZ",1974,26101.18145,"Asphalt and road oil total consumption."
"ARTCB","AZ",1975,15467.14354,"Asphalt and road oil total consumption."
"ARTCB","AZ",1976,13486.38673,"Asphalt and road oil total consumption."
"ARTCB","AZ",1977,14402.04909,"Asphalt and road oil total consumption."
"ARTCB","AZ",1978,17829.46339,"Asphalt and road oil total consumption."
"ARTCB","AZ",1979,19633.41526,"Asphalt and road oil total consumption."
"ARTCB","AZ",1980,13677.1789,"Asphalt and road oil total consumption."
"ARTCB","AZ",1981,10862.66058,"Asphalt and road oil total consumption."
"ARTCB","AZ",1982,10098.8161,"Asphalt and road oil total consumption."
"ARTCB","AZ",1983,10928.741,"Asphalt and road oil total consumption."
"ARTCB","AZ",1984,16488.61101,"Asphalt and road oil total consumption."
"ARTCB","AZ",1985,17009.40237,"Asphalt and road oil total consumption."
"ARTCB","AZ",1986,16790.93144,"Asphalt and road oil total consumption."
"ARTCB","AZ",1987,16535.24995,"Asphalt and road oil total consumption."
"ARTCB","AZ",1988,17806.40229,"Asphalt and road oil total consumption."
"ARTCB","AZ",1989,15832.11233,"Asphalt and road oil total consumption."
"ARTCB","AZ",1990,15704.63981,"Asphalt and road oil total consumption."
"ARTCB","AZ",1991,14472.4881,"Asphalt and road oil total consumption."
"ARTCB","AZ",1992,19801.47369,"Asphalt and road oil total consumption."
"ARTCB","AZ",1993,15446.88237,"Asphalt and road oil total consumption."
"ARTCB","AZ",1994,17082.92414,"Asphalt and road oil total consumption."
"ARTCB","AZ",1995,20822.50723,"Asphalt and road oil total consumption."
"ARTCB","AZ",1996,16323.78299,"Asphalt and road oil total consumption."
"ARTCB","AZ",1997,17944.75579,"Asphalt and road oil total consumption."
"ARTCB","AZ",1998,26355.45472,"Asphalt and road oil total consumption."
"ARTCB","AZ",1999,25311.89647,"Asphalt and road oil total consumption."
"ARTCB","AZ",2000,22751.66257,"Asphalt and road oil total consumption."
"ARTCB","AZ",2001,17038.8181,"Asphalt and road oil total consumption."
"ARTCB","AZ",2002,23430.92844,"Asphalt and road oil total consumption."
"ARTCB","AZ",2003,23016.83069,"Asphalt and road oil total consumption."
"ARTCB","AZ",2004,31933.97036,"Asphalt and road oil total consumption."
