"MSN","Description"
"ARTCB","Asphalt and road oil total consumption."
"AVTCB","Aviation gasoline total consumption."
"BMTCB","Biomass total consumption"
"CLTCB","Coal total consumption."
"DFTCB","Distillate fuel oil total consumption."
"EMTCB","Fuel ethanol, excluding denaturant, total consumption."
"ESTCB","Electricity total consumption (i.e., sold)."
"FFTCB","Fossil fuelS, total consumption."
"GETCB","Geothermal energy total consumption."
"HYTCB","Hydroelectricity total production."
"JFTCB","Jet fuel total consumption."
"JKTCB","Kerosene-type jet fuel total consumption."
"JNTCB","Naphtha-type jet fuel total consumption."
"KSTCB","Kerosene total consumption."
"LGTCB","LPG total consumption."
"LOTCB","Total electrical system energy losses."
"LUTCB","Lubricants total consumption."
"MGTCB","Motor gasoline total consumption."
"MMTCB","Motor gasoline total consumption excluding fuel ethanol."
"NGTCB","Natural gas total consumption (including supplemental gaseous fuels)."
"NNTCB","Natural gas total consumption (excluding supplemental gaseous fuels)."
"P1TCB","Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total consumption."
"PATCB","All petroleum products total consumption."
"PCTCB","Petroleum coke total consumption."
"PMTCB","All petroleum products total consumption excluding fuel ethanol."
"POTCB","Other petroleum products total consumption."
"RETCB","Renewable energy total consumption."
"RFTCB","Residual fuel oil total consumption."
"SFTCB","Supplemental gaseous fuels total consumption."
"SOTCB","Photovoltaic and solar thermal energy total consumption."
"TETCB","Total energy consumption."
"WWTCB","Wood and waste total consumption."
